uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2109.0828301758197
U07,M002,0.0,1969.2846571841203
U05,M003,0.0,1756.6939339219116
U02,M004,0.0,1727.4353226736384
U03,M005,0.0,1654.8593983215956
U04,M006,0.0,1612.1111816650089
U06,M007,0.0,1209.1015218431576
U06,M008,1209.1015218431576,2416.3784346650145
U04,M009,1612.1111816650089,3874.765203842544
U05,M010,1756.6939339219116,3678.3419450951533
U06,M011,2416.3784346650145,4318.220741832059
U05,M012,3678.3419450951533,5446.630529115603
U03,M013,1654.8593983215956,3347.055649939721
U01,M014,2109.0828301758197,4006.3441599388543
U02,M015,1727.4353226736384,3581.6091442300253
U08,M016,0.0,2191.028559010742
U07,M017,1969.2846571841203,3529.455049063085
U08,M018,2191.028559010742,4298.84057764945
U07,M019,3529.455049063085,5965.5661934001655
U08,M020,4298.84057764945,6074.416025485627
U07,M021,5965.5661934001655,8134.627259993329
U03,M022,3347.055649939721,4537.95679520428
U02,M023,3581.6091442300253,4772.510289494584
U08,M024,6074.416025485627,8463.489842737436
U07,M025,8134.627259993329,9879.82241818887
U06,M026,4318.220741832059,5753.597644278398
U05,M027,5446.630529115603,7249.365085085687
U06,M028,5753.597644278398,7201.35305295145
U01,M029,4006.3441599388543,6014.813745393176
U04,M030,3874.765203842544,5320.778261037752
U06,M031,7201.35305295145,8639.795300345859
U05,M032,7249.365085085687,8317.788735197288
U08,M033,8463.489842737436,10298.011511881583
