sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-A-01,360.0,2109.0828301758197,0.34267568748286925,1354.52160627227,3463.6044364480895
M002,BAT-C-01,360.0,1969.2846571841203,0.5444584484750425,1820.3400283040746,3789.6246854881947
M003,BAT-B-01,390.0,2032.4328321479334,0.3055955751057353,1870.3010031500587,3902.7338352979923
M004,BAT-A-02,360.0,1727.4353226736384,0.5765975960294276,1050.423125161744,2777.8584478353823
M005,BAT-A-03,360.0,1654.8593983215956,0.5655978254576951,1064.7228269049965,2719.582225226592
M006,BAT-A-04,360.0,2403.446024208815,0.2599365642419299,1462.082466485491,3865.528490694306
M007,BAT-A-05,2014.8593983215956,4000.130939430371,0.37401084452385414,1313.7859021189897,5313.9168415493605
M008,BAT-B-02,390.0,1209.1015218431576,0.7315098080940781,1132.0496659702646,2341.1511878134224
M009,BAT-B-03,1569.1015218431576,2416.3784346650145,0.7253090653907963,1142.7976199892864,3559.176054654301
M010,BAT-A-06,2087.4353226736384,3990.089344851174,0.337339941623068,1361.4580758900115,5351.547420741185
M011,BAT-B-02,2422.4328321479334,4311.960663329772,0.20537646548354282,2044.0141264951924,6355.974789824964
M012,BAT-B-04,2776.3784346650145,4318.220741832059,0.3330795976001264,1822.6620308264476,6140.882772658506
M013,BAT-B-01,4671.960663329772,6080.249247350222,0.4823108550335087,1563.9945179419183,7644.24376529214
M014,BAT-A-03,2719.582225226592,4051.7784768447177,0.5285988724357911,1112.8214658334716,5164.599942678189
M015,BAT-A-02,2777.8584478353823,4106.4723225487705,0.49893332368114396,1151.386679214513,5257.859001763283
M016,BAT-A-01,4350.089344851174,5212.1162638546075,0.7439999486838502,832.8000667109948,6044.916330565602
M017,BAT-C-02,450.0,1428.170391878965,0.6599541709125436,1570.0992963561555,2998.26968823512
M018,BAT-C-03,1848.170391878965,3664.6125084914165,0.3371692313722723,2269.4666653600766,5934.079173851493
M019,BAT-C-04,2389.28465718412,3398.844183124467,0.709024318036301,1463.7806442546812,4862.624827379148
M020,BAT-C-01,3818.844183124467,5682.212932468454,0.450703277700797,2023.4762316482731,7705.689164116727
M021,BAT-C-02,4054.6125084914165,4960.782900370381,0.738692639651015,1399.4992807561343,6360.282181126515
M022,BAT-C-04,5410.782900370381,7330.894044707461,0.27937666171773357,2394.683899611577,9725.577944319039
M023,BAT-C-03,6072.212932468454,7785.273999061617,0.3298004137037369,2285.4324369752367,10070.706436036853
M024,BAT-C-01,7720.894044707461,9398.606129299635,0.3248112489322408,2296.242293980145,11694.84842327978
M025,BAT-C-02,8205.273999061617,9530.46915725716,0.5266192194952495,1858.991691093626,11389.460848350785
M026,BAT-B-03,4648.220741832059,5753.597644278398,0.6211059515765082,1323.4163506007192,7077.013994879117
M027,BAT-B-04,6140.882772658506,7613.617328628588,0.4276288772351662,1658.7766127923783,9272.393941420967
M028,BAT-B-02,6410.249247350222,7470.719527643167,0.6211002766043003,1323.4261872192128,8794.14571486238
M029,BAT-A-04,4330.130939430372,5191.032084694931,0.7382098677412959,840.3271719363153,6031.359256631246
M030,BAT-A-03,5164.599942678189,6778.3374668921015,0.3831099498245538,1301.95706522808,8080.294532120181
M031,BAT-A-02,5257.859001763283,7130.513023940819,0.36640974087202494,1323.6673368663676,8454.180360807186
M032,BAT-A-05,5521.032084694931,7309.837737699569,0.3481020262595864,1347.4673658625377,8657.305103562107
M033,BAT-B-01,7800.719527643167,8539.143177754768,0.7764359599206634,1054.17766947085,9593.320847225617
M034,BAT-C-04,9728.606129299635,11233.127798443782,0.5141514245902123,1886.0052467212067,13119.133045164988
M035,BAT-A-06,5542.1162638546075,6840.730138567996,0.5204392780398976,1123.4289385481331,7964.159077116129
