uav_id,sortie_id,busy_start_s,busy_end_s
U06,M001,1922.734565970083,3478.111468416422
U06,M002,0.0,1922.734555970083
U06,M003,5558.654586692304,7460.496893859348
U05,M004,5342.064812079005,7170.353396099455
U08,M005,0.0,2107.812018638708
U05,M006,0.0,1869.7521946190163
U05,M007,7170.353406099455,8358.777056211056
U06,M008,3478.111478416422,5558.6545766923045
U07,M009,0.0,1494.170391878965
U05,M010,3380.222494911961,5342.064802079005
U07,M011,3907.7445717157216,6277.855716052802
U06,M012,7460.496903859348,9018.939151253757
U01,M013,0.0,1313.485266596983
U08,M014,4046.341335064868,6347.4024016580315
U08,M015,6347.402411658031,8224.597569853573
U02,M016,0.0,1313.485266596983
U07,M017,1494.1704018789649,3907.744561715722
U08,M018,2107.8120286387084,3799.9824205176733
U03,M019,0.0,2003.7375242139126
U05,M020,1869.7522046190163,3380.222484911961
