sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U06,B,BAT-B-04,1922.734565970083,2312.734565970083,S010,3478.111468416422,1.8231457316476736,1.3768542683523266,3,25.0,P0016
M002,U06,B,BAT-B-02,0.0,390.0,S012,1922.734555970083,2.75235444190214,0.44764555809786,3,25.0,P0016
M003,U06,B,BAT-B-04,5558.654586692304,5918.654586692304,S008,7460.496893859348,2.763432587771086,0.43656741222891426,2,20.0,P0016
M004,U05,B,BAT-B-03,5342.064812079005,5732.064812079005,S015,7170.353396099455,2.3074247845590743,0.8925752154409259,3,25.0,P0016
M005,U08,C,BAT-C-02,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,P0016
M006,U05,B,BAT-B-01,0.0,390.0,S014,1869.7521946190163,2.1403030047614893,1.059696995238511,3,25.0,P0016
M007,U05,B,BAT-B-01,7170.353406099455,7560.353406099455,S011,8358.777056211056,1.0739337252089312,2.126066274791069,3,25.0,P0016
M008,U06,B,BAT-B-02,3478.111478416422,3868.111478416422,S003,5558.6545766923045,2.7799008904293254,0.42009910957067476,3,25.0,P0016
M009,U07,C,BAT-C-01,0.0,480.0,S001,1494.170391878965,2.917555936277246,3.4824440637227543,6,76.0,P0016
M010,U05,B,BAT-B-01,3380.222494911961,3770.222494911961,S008,5342.064802079005,2.9752083647603644,0.22479163523963575,3,25.0,P0016
M011,U07,C,BAT-C-01,3907.7445717157216,4357.744571715722,S003,6277.855716052802,5.7649867062581315,0.6350132937418689,5,56.0,P0016
M012,U06,B,BAT-B-02,7460.496903859348,7850.496903859348,S009,9018.939151253757,2.096210537071622,1.1037894629283782,3,25.0,P0016
M013,U01,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3570321467642898,2.2429678532357102,2,22.0,P0016
M014,U08,C,BAT-C-02,4046.341335064868,4526.341335064868,S004,6347.4024016580315,6.152897007997176,0.2471029920028247,6,59.0,P0016
M015,U08,C,BAT-C-04,6347.402411658031,6827.402411658031,S005,8224.597569853573,4.2221748035098585,2.177825196490142,6,59.0,P0016
M016,U02,A,BAT-A-02,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,P0016
M017,U07,C,BAT-C-03,1494.1704018789649,2004.1704018789649,S006>S007,3907.744561715722,4.297007356681829,2.1029926433181716,7,65.0,P0016
M018,U08,C,BAT-C-04,2107.8120286387084,2677.8120286387084,S001,3799.9824205176733,2.995742764547403,3.4042572354525973,9,78.0,P0016
M019,U03,A,BAT-A-03,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,P0016
M020,U05,B,BAT-B-03,1869.7522046190163,2259.752204619016,S013,3380.222484911961,1.8247182633032644,1.3752817366967358,3,25.0,P0016
