uav_id,sortie_id,busy_start_s,busy_end_s
U03,M001,2504.3864318615415,3757.8716984585244
U05,M002,0.0,1510.4702802929446
U05,M003,1510.4702902929446,3380.222484911961
U04,M004,0.0,1313.485266596983
U06,M005,4625.388401238279,6183.830648632687
U02,M006,0.0,1727.4353226736384
U07,M007,0.0,1560.170391878965
U06,M008,1922.734565970083,3478.111468416422
U07,M009,1560.1704018789649,3667.982420517673
U07,M010,3667.9824305176735,6104.093574854754
U03,M011,1190.9011552645588,2504.3864218615417
U06,M012,3478.111478416422,4625.388391238279
U05,M013,5208.511088932411,6396.9347390440125
U01,M014,3812.7034657936765,6075.357487971212
U08,M015,0.0,2199.7120845921745
U05,M016,3380.222494911961,5208.511078932411
U01,M017,0.0,1250.9011452645589
U01,M018,2561.8023105291177,3812.7034557936768
U03,M019,0.0,1190.9011452645589
U06,M020,0.0,1922.734555970083
U08,M021,4500.773171185338,6377.968329380879
U01,M022,1250.9011552645588,2561.802300529118
U02,M023,1761.3504865325065,3488.785809206145
U02,M024,3488.785819206145,5156.221141879783
U04,M025,1683.2027762677155,3686.940300481628
U08,M026,2199.7120945921747,4500.773161185338
