sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-05,1253.4852765969829,1583.4852765969829,S007,2920.920599270621,1.8725171200874788,1.7274828799125213,1,14.0,P0012
M002,U01,A,BAT-A-01,0.0,330.0,S006,1253.485266596983,1.2888670060198661,2.311132993980134,1,14.0,P0012
M003,U03,A,BAT-A-02,4280.236274511395,4610.236274511395,S006,5533.721541108378,1.2525327364432264,2.3474672635567737,1,8.0,P0012
M004,U04,A,BAT-A-03,5850.149397437004,6180.149397437004,S006,7103.634664033987,1.242996292553261,2.357003707446739,1,6.0,P0012
M005,U05,B,BAT-B-01,0.0,330.0,S010,1435.376902446339,1.5878597704208102,1.61214022957919,1,14.0,P0012
M006,U06,B,BAT-B-04,4480.145738715352,4840.145738715352,S004,6401.793749888594,2.576489867036754,0.6235101329632462,2,17.0,P0012
M007,U06,B,BAT-B-01,6401.793759888594,6731.793759888594,S015,8110.082343909044,2.00951162910229,1.19048837089771,1,14.0,P0012
M008,U03,A,BAT-A-03,0.0,360.0,S014,1990.4045344521558,2.2176038374872022,1.3823961625127978,2,11.0,P0012
M009,U01,A,BAT-A-03,2920.9206092706213,3250.9206092706213,S010,4515.780007592217,1.867891757009792,1.7321082429902082,1,8.0,P0012
M010,U06,B,BAT-B-01,2963.9708667437685,3323.9708667437685,S005,4480.145728715352,1.8345062099378917,1.3654937900621085,2,20.0,P0012
M011,U05,B,BAT-B-02,6206.048635071311,6536.048635071311,S005,7662.223497042894,1.602558962865772,1.5974410371342282,1,3.0,P0012
M012,U02,A,BAT-A-06,1727.4353326736384,2087.435332673638,S012,3836.5181628494583,3.058394179439678,0.541605820560322,2,22.0,P0012
M013,U02,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.905310817867576,1.6946891821324241,2,17.0,P0012
M014,U04,A,BAT-A-02,2417.8584578353825,2777.8584578353825,S006,3731.3437244323654,1.3115511002735658,2.2884488997264345,2,17.0,P0012
M015,U03,A,BAT-A-01,7104.434429764597,7434.434429764597,S005,8736.630681382721,2.085939331054696,1.5140606689453042,1,14.0,P0012
M016,U08,C,BAT-C-04,7316.331321441901,7646.331321441901,S007,8959.906769278077,2.95966356044441,3.4403364395555904,1,6.0,P0012
M017,U02,A,BAT-A-02,6065.564341636421,6395.564341636421,S004,8184.369994641059,2.933540881831861,0.666459118168139,1,6.0,P0012
M018,U01,A,BAT-A-01,4741.283028863769,5071.283028863769,S007,6408.718351537407,1.8197863900171933,1.7802136099828068,1,8.0,P0012
M019,U08,C,BAT-C-01,5116.619226849727,5566.619226849727,S008,7316.331311441902,5.836023632389955,0.5639763676100458,5,45.0,P0012
M020,U08,C,BAT-C-04,2322.6142591409457,2832.6142591409457,S003>S015,5116.619216849727,5.990256795357125,0.4097432046428757,7,50.0,P0012
M021,U07,C,BAT-C-02,3980.954206914845,4370.954206914845,S003,6219.065351251926,5.288266757738672,1.1117332422613284,3,42.0,P0012
M022,U05,B,BAT-B-03,4767.606377676902,5097.606377676902,S009,6206.048625071311,1.699375543496821,1.5006244565031792,1,3.0,P0012
M023,U02,A,BAT-A-05,3836.518172849458,4196.518172849458,S004,6015.323825854096,3.191085884797113,0.408914115202887,2,22.0,P0012
M024,U03,A,BAT-A-06,5533.721551108378,5863.721551108378,S011,6695.748470111811,1.132490077819226,2.467509922180774,1,14.0,P0012
M025,U05,B,BAT-B-02,3329.1641202824935,3659.1641202824935,S009,4767.606367676903,1.7424262240623476,1.4575737759376526,1,8.0,P0012
M026,U04,A,BAT-A-05,7107.193091462152,7437.193091462152,S011,8269.220010465586,1.0835104434866438,2.5164895565133563,1,3.0,P0012
M027,U06,B,BAT-B-04,1816.6939439219116,2146.6939439219113,S006,2963.9708567437683,1.0662580721233486,2.1337419278766516,1,14.0,P0012
M028,U04,A,BAT-A-04,3731.3437344323656,4061.3437344323656,S004,5850.1493874370035,3.035323122468884,0.5646768775311162,1,14.0,P0012
M029,U06,B,BAT-B-02,0.0,390.0,S002,1816.6939339219116,2.7133927146782657,0.4866072853217345,3,25.0,P0012
M030,U05,B,BAT-B-03,1435.376912446339,1825.376912446339,S013>S010,3321.9857176987994,2.063314866923637,1.1366851330763632,3,25.0,P0012
M031,U04,A,BAT-A-04,0.0,330.0,S012,2049.0828301758197,2.785950487639441,0.8140495123605591,1,3.0,P0012
M032,U07,C,BAT-C-01,0.0,450.0,S002,2041.8120186387082,5.721185016831143,0.6788149831688575,5,56.0,P0012
M033,U03,A,BAT-A-01,1990.4045444521557,2320.4045444521557,S014,3920.8090789043117,2.2516405613981223,1.3483594386018778,1,14.0,P0012
M034,U01,A,BAT-A-04,6897.020521705792,7227.020521705792,S009,8525.63439641918,2.217149210026278,1.382850789973722,1,14.0,P0012
M035,U07,C,BAT-C-03,2041.8120286387082,2551.8120286387084,S001,3601.982420517673,3.037670039778408,3.3623299602215924,7,79.0,P0012
M036,U07,C,BAT-C-03,6219.065361251925,6609.065361251925,S011>S005,8194.233274576105,3.6909601519455686,2.7090398480544318,3,30.0,P0012
M037,U08,C,BAT-C-02,0.0,570.0,S001>S013,2322.6142491409455,4.486178268703629,1.9138217312963715,9,78.0,P0012
