sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U03,A,BAT-A-03,0.0,360.0,S006,1313.485266596983,1.3570321467642898,2.2429678532357102,2,22.0,P0006
M002,U08,C,BAT-C-04,2107.8120286387084,2617.8120286387084,S001,3667.9824205176733,2.917555936277246,3.4824440637227543,7,76.0,P0006
M003,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,P0006
M004,U05,B,BAT-B-01,3130.01148879194,3520.01148879194,S015,4958.30007281239,2.3074247845590743,0.8925752154409259,3,25.0,P0006
M005,U02,A,BAT-A-03,2003.7375342139126,2333.7375342139126,S010,3598.596932535508,1.92131533083843,1.67868466916157,1,14.0,P0006
M006,U05,B,BAT-B-03,1207.276922821857,1597.276922821857,S012,3130.01147879194,2.75235444190214,0.44764555809786,3,25.0,P0006
M007,U08,C,BAT-C-02,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,P0006
M008,U08,C,BAT-C-01,3667.9824305176735,4147.9824305176735,S004,5969.043497110837,6.152897007997176,0.2471029920028247,6,59.0,P0006
M009,U04,A,BAT-A-05,3750.288423609415,4110.288423609415,S005,5442.484675227541,2.1213050740389403,1.4786949259610598,2,17.0,P0006
M010,U04,A,BAT-A-04,0.0,360.0,S010,1654.8593983215956,1.892423901801982,1.7075760981980181,2,11.0,P0006
M011,U06,B,BAT-B-04,4896.397366883544,5286.397366883544,S009,6454.839614277953,2.096210537071622,1.1037894629283782,3,25.0,P0006
M012,U04,A,BAT-A-01,2436.803147012432,2796.803147012432,S006,3750.288413609415,1.3115511002735658,2.2884488997264345,2,17.0,P0006
M013,U01,A,BAT-A-04,3454.870665347277,3814.870665347277,S005,5147.066916965403,2.192966633451616,1.4070333665483843,2,22.0,P0006
M014,U02,A,BAT-A-02,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,P0006
M015,U03,A,BAT-A-02,3015.7949262853263,3375.7949262853263,S003,5278.448948462861,3.083579679483661,0.5164203205163389,2,22.0,P0006
M016,U07,C,BAT-C-01,0.0,540.0,S001,1626.170391878965,2.995742764547403,3.4042572354525973,8,78.0,P0006
M017,U05,B,BAT-B-03,4958.3000828123895,5348.3000828123895,S011,6146.723732923991,1.0739337252089312,2.126066274791069,3,25.0,P0006
M018,U01,A,BAT-A-06,1727.4353326736384,2087.435332673638,S007,3454.8706553472766,1.8274326219446961,1.772567378055304,2,9.0,P0006
M019,U03,A,BAT-A-05,1313.4852765969829,1643.4852765969829,S007,2980.920599270621,1.8725171200874788,1.7274828799125213,1,14.0,P0006
M020,U06,B,BAT-B-02,0.0,390.0,S014,1869.7521946190163,2.1403030047614893,1.059696995238511,3,25.0,P0006
M021,U06,B,BAT-B-04,1869.7522046190163,2259.752204619016,S013,3380.222484911961,1.8247182633032644,1.3752817366967358,3,25.0,P0006
M022,U07,C,BAT-C-02,4076.341335064868,4526.341335064868,S008,6276.0534196570425,5.836023632389955,0.5639763676100458,5,45.0,P0006
M023,U07,C,BAT-C-03,1626.1704018789649,2106.170401878965,S003,4062.281546216045,5.897111425303905,0.5028885746960956,6,59.0,P0006
M024,U01,A,BAT-A-01,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,P0006
M025,U06,B,BAT-B-02,3380.222494911961,3740.222494911961,S005,4896.3973568835445,1.8345062099378917,1.3654937900621085,2,20.0,P0006
