box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S006-FOD-01,M001,S006,935.5059666318248,7200.0,,,True,0.1299313842544201,P0006
S006-WAT-02,M001,S006,935.5059666318248,3600.0,,,True,0.2598627685088402,P0006
S007-MED-01,M002,S007,2454.842937933802,3600.0,3600.0,3600.0,True,0.6819008160927228,P0006
S007-HYG-01,M002,S007,2454.842937933802,10800.0,,,True,0.2273002720309076,P0006
S006-HYG-01,M003,S006,882.4017897442618,10800.0,,,True,0.08170386942076498,P0006
S006-WAT-01,M003,S006,882.4017897442618,3600.0,3600.0,3600.0,True,0.24511160826229494,P0006
S007-FOD-01,M004,S007,3489.7423842579515,7200.0,,,True,0.4846864422580488,P0006
S007-WAT-02,M004,S007,3489.7423842579515,3600.0,,,True,0.9693728845160976,P0006
S009-MED-01,M005,S009,4471.033618609165,10800.0,10800.0,10800.0,True,0.4139845943156635,P0006
S009-FOD-01,M005,S009,4471.033618609165,14400.0,,,True,0.3104884457367476,P0006
S009-WAT-01,M005,S009,4471.033618609165,10800.0,10800.0,10800.0,True,0.4139845943156635,P0006
S013-MED-01,M006,S013,2932.520678098822,3600.0,3600.0,3600.0,True,0.8145890772496728,P0006
S013-FOD-01,M006,S013,2932.520678098822,7200.0,,,True,0.4072945386248364,P0006
S013-WAT-01,M006,S013,2932.520678098822,3600.0,3600.0,3600.0,True,0.8145890772496728,P0006
S003-MED-01,M007,S003,5247.498002686214,7200.0,7200.0,7200.0,True,0.7288191670397519,P0006
S003-HYG-01,M007,S003,5247.498002686214,14400.0,,,True,0.36440958351987596,P0006
S003-FOD-01,M007,S003,5247.498002686214,10800.0,,,True,0.48587944469316796,P0006
S003-WAT-02,M007,S003,5247.498002686214,7200.0,,,True,0.7288191670397519,P0006
S003-WAT-03,M007,S003,5247.498002686214,7200.0,,,True,0.7288191670397519,P0006
S003-WAT-04,M007,S003,5247.498002686214,7200.0,,,True,0.7288191670397519,P0006
S007-WAT-01,M008,S007,1081.357661336819,3600.0,3600.0,3600.0,True,0.30037712814911643,P0006
S006-MED-01,M009,S006,2602.941299305463,3600.0,3600.0,3600.0,True,0.723039249807073,P0006
S006-WAT-03,M009,S006,2602.941299305463,3600.0,,,True,0.723039249807073,P0006
S012-MED-01,M010,S012,2478.5742008068983,7200.0,3600.0,3600.0,True,0.34424641677873585,P0006
S012-FOD-01,M010,S012,2478.5742008068983,7200.0,,,True,0.34424641677873585,P0006
S012-WAT-01,M010,S012,2478.5742008068983,3600.0,3600.0,3600.0,True,0.6884928335574717,P0006
S005-HYG-01,M011,S005,5979.508849958827,18000.0,,,True,0.3321949361088237,P0006
S005-WAT-01,M011,S005,5979.508849958827,10800.0,10800.0,10800.0,True,0.5536582268480396,P0006
S011-MED-01,M012,S011,4036.409980514407,10800.0,10800.0,10800.0,True,0.3737416648624451,P0006
S011-FOD-01,M012,S011,4036.409980514407,14400.0,,,True,0.2803062486468338,P0006
S011-WAT-01,M012,S011,4036.409980514407,10800.0,10800.0,10800.0,True,0.3737416648624451,P0006
