sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M003,U02,A,BAT-A-06,1250.9011452645645,1610.9011452645645,S007,2978.336467938203,1.8274326219446961,1.772567378055304,2,9.0,P0011
M004,U05,B,BAT-B-01,0.0,390.0,S013,1510.4702802929446,1.8247182633032644,1.3752817366967358,3,25.0,P0011
M002,U04,A,BAT-A-02,0.0,330.0,S007,1667.4353226736384,1.8725171200874788,1.7274828799125213,1,14.0,P0011
M013,U07,C,BAT-C-03,4998.9250760148425,5388.9250760148425,S009,6643.49362752709,3.769285716229155,2.6307142837708453,3,25.0,P0011
M024,U08,C,BAT-C-01,4543.923162975785,5023.923162975785,S004,6844.984229568949,6.152897007997176,0.2471029920028247,6,59.0,P0011
M008,U08,C,BAT-C-01,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,P0011
M016,U03,A,BAT-A-01,1761.3504765325051,2121.350476532505,S001,3012.251621797064,1.2823246082352031,2.317675391764797,2,22.0,P0011
M010,U07,C,BAT-C-03,1560.1703918789717,2040.1703918789717,S006,3121.7299178193184,2.5979763856932365,3.802023614306764,6,59.0,P0011
M015,U02,A,BAT-A-03,0.0,360.0,S001,1250.9011452645589,1.2823246082352031,2.317675391764797,2,22.0,P0011
M001,U05,B,BAT-B-01,3065.847182739277,3455.847182739277,S008,5027.689489906321,2.9752083647603644,0.22479163523963575,3,25.0,P0011
M018,U06,B,BAT-B-02,0.0,390.0,S012,1922.734555970083,2.75235444190214,0.44764555809786,3,25.0,P0011
M022,U04,A,BAT-A-03,1816.1504618105973,2176.1504618105973,S007,3543.585784484236,1.9708885880958245,1.6291114119041756,2,22.0,P0011
M021,U06,B,BAT-B-02,3792.4867505891016,4152.486750589102,S008,5694.329057756146,2.763432587771086,0.43656741222891426,2,20.0,P0011
M019,U07,C,BAT-C-02,3121.729917819306,3601.729917819306,S005,4998.925076014848,4.2221748035098585,2.177825196490142,6,59.0,P0011
M014,U05,B,BAT-B-03,5027.689489906324,5417.689489906324,S015,6855.9780739267735,2.3074247845590743,0.8925752154409259,3,25.0,P0011
M020,U03,A,BAT-A-04,0.0,390.0,S001,1310.9011452645589,1.2643245572747412,2.335675442725259,3,20.0,P0011
M011,U06,B,BAT-B-04,5694.329057756138,6084.329057756138,S011,6882.752707867739,1.0739337252089312,2.126066274791069,3,25.0,P0011
M012,U02,A,BAT-A-04,3194.638669478474,3554.638669478474,S003,5457.29269165601,3.083579679483661,0.5164203205163389,2,22.0,P0011
M006,U07,C,BAT-C-02,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,P0011
M009,U08,C,BAT-C-04,2107.8120186387096,2587.8120186387096,S003,4543.92316297579,5.897111425303905,0.5028885746960956,6,59.0,P0011
M005,U06,B,BAT-B-04,1922.7345559700916,2312.7345559700916,S014,3792.486750589108,2.1403030047614893,1.059696995238511,3,25.0,P0011
M023,U01,A,BAT-A-05,1190.9011452645645,1550.9011452645645,S002,3194.638669478477,3.0186602033241243,0.5813397966758758,2,22.0,P0011
M017,U01,A,BAT-A-01,0.0,330.0,S001,1190.9011452645589,1.2195056111647737,2.3804943888352263,1,14.0,P0011
M007,U05,B,BAT-B-03,1510.4702802929387,1900.4702802929387,S010,3065.8471827392777,1.8231457316476736,1.3768542683523266,3,25.0,P0011
