uav_id,sortie_id,busy_start_s,busy_end_s
U02,M003,1250.9011452645645,2978.336467938203
U05,M004,0.0,1510.4702802929446
U04,M002,0.0,1667.4353226736384
U07,M013,4998.9250760148425,6643.49362752709
U08,M024,4543.923162975785,6844.984229568949
U08,M008,0.0,2107.812018638708
U03,M016,1761.3504765325051,3012.251621797064
U07,M010,1560.1703918789717,3121.7299178193184
U02,M015,0.0,1250.9011452645589
U05,M001,3065.847182739277,5027.689489906321
U06,M018,0.0,1922.734555970083
U04,M022,1816.1504618105973,3543.585784484236
U06,M021,3792.4867505891016,5694.329057756146
U07,M019,3121.729917819306,4998.925076014848
U05,M014,5027.689489906324,6855.9780739267735
U03,M020,0.0,1310.9011452645589
U06,M011,5694.329057756138,6882.752707867739
U02,M012,3194.638669478474,5457.29269165601
U07,M006,0.0,1560.170391878965
U08,M009,2107.8120186387096,4543.92316297579
U06,M005,1922.7345559700916,3792.486750589108
U01,M023,1190.9011452645645,3194.638669478477
U01,M017,0.0,1190.9011452645589
U05,M007,1510.4702802929387,3065.8471827392777
