uav_id,sortie_id,busy_start_s,busy_end_s
U06,M001,1922.734565970083,3433.2048462630273
U02,M002,0.0,1667.4353226736384
U04,M003,2348.3847229211324,3661.8699895181153
U05,M004,3077.0291274408733,4905.317711461324
U01,M005,2968.3446849185784,5230.998707096114
U04,M006,0.0,2003.7375242139126
U05,M007,4905.317721461323,6867.160028628367
U01,M008,0.0,1313.485266596983
U08,M009,0.0,2107.812018638708
U07,M010,3186.3408037579297,5487.401870351093
U07,M011,1494.1704018789649,3186.3407937579295
U07,M012,5487.4018803510935,6765.646115586393
U01,M013,1313.4852765969829,2968.3446749185787
U02,M014,1667.4353326736384,3394.8706553472766
U05,M015,1207.276922821857,3077.029117440873
U03,M016,1862.377816676013,3457.2372149976086
U03,M017,0.0,1727.4353226736384
U06,M018,0.0,1922.734555970083
U08,M019,2107.8120286387084,4543.9231729757885
U05,M020,0.0,1207.276912821857
U08,M021,4543.923182975788,6421.11834117133
U06,M022,5335.047173430072,6893.4894208244805
U07,M023,0.0,1494.170391878965
U06,M024,3433.2048562630275,5335.047163430072
