sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U08,C,BAT-C-02,0.0,540.0,S001,1626.170391878965,2.995742764547403,3.4042572354525973,8,78.0,A03
M002,U07,C,BAT-C-01,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,A03
M003,U02,A,BAT-A-02,5.875,365.875,S002,2009.6125242139126,3.0186602033241243,0.5813397966758758,2,22.0,A03
M004,U07,C,BAT-C-03,1626.170391878965,2106.1703918789653,S002,3733.982410517673,5.8530312852658195,0.5469687147341808,6,59.0,A03
M005,U05,B,BAT-B-03,5402.459071788074,5792.459071788074,S003,7483.002170063956,2.7799008904293254,0.42009910957067476,3,25.0,A03
M006,U07,C,BAT-C-01,3969.468465815643,4449.468465815643,S004,6270.5295324088065,6.152897007997176,0.2471029920028247,6,59.0,A03
M007,U07,C,BAT-C-03,7407.395128955119,7887.395128955119,S005,9284.59028715066,4.2221748035098585,2.177825196490142,6,59.0,A03
M008,U01,A,BAT-A-01,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,A03
M009,U06,B,BAT-B-02,7401.176378955118,7761.176378955118,S008,9303.018686122163,2.763432587771086,0.43656741222891426,2,20.0,A03
M010,U06,B,BAT-B-04,5439.334071788074,5829.334071788074,S008,7401.176378955118,2.9752083647603644,0.22479163523963575,3,25.0,A03
M011,U05,B,BAT-B-01,7483.002170063956,7873.002170063956,S009,9041.444417458366,2.096210537071622,1.1037894629283782,3,25.0,A03
M012,U05,B,BAT-B-01,0.0,390.0,S010,1555.376902446339,1.8231457316476736,1.3768542683523266,3,25.0,A03
M013,U06,B,BAT-B-02,4214.035421676473,4604.035421676473,S011,5402.459071788074,1.0739337252089312,2.126066274791069,3,25.0,A03
M014,U06,B,BAT-B-02,7.34375,397.34375,S012,1930.078305970083,2.75235444190214,0.44764555809786,3,25.0,A03
M015,U06,B,BAT-B-04,2537.231526520194,2927.231526520194,S013,4047.7018068131392,1.8247182633032644,1.3752817366967358,3,25.0,A03
M016,U05,B,BAT-B-03,1555.376902446339,1945.3769024463393,S014,3425.1290970653554,2.1403030047614893,1.059696995238511,3,25.0,A03
M017,U05,B,BAT-B-01,3425.1290970653554,3815.1290970653554,S015,5253.417681085805,2.3074247845590743,0.8925752154409259,3,25.0,A03
M018,U08,C,BAT-C-02,6243.408714691101,6723.408714691101,S007>S003,8871.020861416457,5.949654978772563,0.45034502122743714,6,62.0,A03
M019,U08,C,BAT-C-04,1680.253564081332,2220.253564081332,S006>S007,4159.827723918089,4.430406825646259,1.969593174353741,8,76.0,A03
