uav_id,sortie_id,busy_start_s,busy_end_s
U08,M001,0.0,1626.170391878965
U07,M002,0.0,1560.170391878965
U02,M003,5.875,2009.6125242139126
U07,M004,1626.170391878965,3733.982410517673
U05,M005,5402.459071788074,7483.002170063956
U07,M006,3969.468465815643,6270.5295324088065
U07,M007,7407.395128955119,9284.59028715066
U01,M008,0.0,1727.4353226736384
U06,M009,7401.176378955118,9303.018686122163
U06,M010,5439.334071788074,7401.176378955118
U05,M011,7483.002170063956,9041.444417458366
U05,M012,0.0,1555.376902446339
U06,M013,4214.035421676473,5402.459071788074
U06,M014,7.34375,1930.078305970083
U06,M015,2537.231526520194,4047.7018068131392
U05,M016,1555.376902446339,3425.1290970653554
U05,M017,3425.1290970653554,5253.417681085805
U08,M018,6243.408714691101,8871.020861416457
U08,M019,1680.253564081332,4159.827723918089
