sortie_id,shift_s
M001,1692.170391878965
M002,-0.0
M003,-0.0
M004,-0.0
M005,4896.397336883545
M006,2229.9711520450564
M007,4666.0822963821365
M008,6916.940435159428
M009,3380.222474911961
M010,2968.3446649185785
M011,1832.3778066760133
M012,-0.0
M013,-0.0
M014,2518.642338663181
M015,-0.0
M016,93.28203631663064
M017,3186.34078375793
M018,6412.642360995723
M019,1727.4353226736384
M020,1313.485266596983
M021,3395.9301268636723
M022,1473.1955708935893
M023,-0.0
M024,1510.4702802929446
M025,4584.353776975273
