sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U08,C,BAT-C-02,0.0,540.0,S001,1626.170391878965,2.995742764547403,3.4042572354525973,8,78.0,A03
M002,U07,C,BAT-C-01,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,A03
M003,U01,A,BAT-A-01,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,A03
M004,U08,C,BAT-C-04,1626.1704018789649,2106.170401878965,S002,3733.982420517673,5.8530312852658195,0.5469687147341808,6,59.0,A03
M005,U05,B,BAT-B-03,4894.135796759734,5284.135796759734,S003,6974.678895035617,2.7799008904293254,0.42009910957067476,3,25.0,A03
M006,U08,C,BAT-C-01,3733.9824305176735,4213.9824305176735,S004,6035.043497110837,6.152897007997176,0.2471029920028247,6,59.0,A03
M007,U08,C,BAT-C-03,6035.043507110837,6515.043507110837,S005,7912.238665306379,4.2221748035098585,2.177825196490142,6,59.0,A03
M008,U02,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,A03
M009,U06,B,BAT-B-04,5754.329087756143,6114.329087756143,S008,7656.171394923187,2.763432587771086,0.43656741222891426,2,20.0,A03
M010,U06,B,BAT-B-02,3792.4867705890993,4182.486770589099,S008,5754.329077756143,2.9752083647603644,0.22479163523963575,3,25.0,A03
M011,U05,B,BAT-B-01,6974.6789050356165,7364.6789050356165,S009,8533.121152430025,2.096210537071622,1.1037894629283782,3,25.0,A03
M012,U05,B,BAT-B-01,0.0,390.0,S010,1555.376902446339,1.8231457316476736,1.3768542683523266,3,25.0,A03
M013,U06,B,BAT-B-02,7656.171404923187,8046.171404923187,S011,8844.595055034788,1.0739337252089312,2.126066274791069,3,25.0,A03
M014,U06,B,BAT-B-02,0.0,390.0,S012,1922.734555970083,2.75235444190214,0.44764555809786,3,25.0,A03
M015,U05,B,BAT-B-03,1555.376912446339,1945.376912446339,S013,3065.847192739284,1.8247182633032644,1.3752817366967358,3,25.0,A03
M016,U06,B,BAT-B-04,1922.734565970083,2312.734565970083,S014,3792.4867605890995,2.1403030047614893,1.059696995238511,3,25.0,A03
M017,U05,B,BAT-B-01,3065.8472027392836,3455.8472027392836,S015,4894.1357867597335,2.3074247845590743,0.8925752154409259,3,25.0,A03
M018,U07,C,BAT-C-02,4039.7445717157216,4519.744571715722,S007>S003,6667.356718441078,5.949654978772563,0.45034502122743714,6,62.0,A03
M019,U07,C,BAT-C-03,1560.1704018789649,2100.170401878965,S006>S007,4039.744561715722,4.430406825646259,1.969593174353741,8,76.0,A03
