atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,0.0,2.0
A03_M004_G00,A03_M004_G00,A03,M004,2440.201651878965,3381.826651878965,941.625,0.0,2.0
A03_M005_G00,A03_M005_G00,A03,M005,5689.135796759734,6540.760796759734,851.625,0.0,2.0
A03_M006_G00,A03_M006_G00,A03,M006,4688.7636805176735,5533.2324305176735,844.46875,0.0,2.0
A03_M007_G00,A03_M007_G00,A03,M007,6861.231007110837,6886.574757110837,25.34375,0.0,2.0
A03_M007_G01,A03_M007_G01,A03,M007,6894.074757110837,7513.324757110837,619.25,0.0,2.0
A03_M007_G02,A03_M007_G02,A03,M007,7520.856007110837,7546.199757110837,25.34375,0.0,2.0
A03_M008_G00,A03_M008_G00,A03,M008,816.0625,1245.75,429.6875,0.0,2.0
A03_M009_G00,A03_M009_G00,A03,M009,6482.454087756143,7271.704087756143,789.25,0.0,2.0
A03_M010_G00,A03_M010_G00,A03,M010,4550.611770589099,5369.861770589099,819.25,0.0,2.0
A03_M011_G00,A03_M011_G00,A03,M011,7681.4289050356165,8205.335155035616,523.90625,0.0,2.0
A03_M012_G00,A03_M012_G00,A03,M012,753.6875,1171.15625,417.46875,0.0,2.0
A03_M014_G00,A03_M014_G00,A03,M014,746.34375,1547.34375,801.0,0.0,2.0
A03_M015_G00,A03_M015_G00,A03,M015,2297.064412446339,2696.064412446339,399.0,0.0,2.0
A03_M016_G00,A03_M016_G00,A03,M016,2727.547065970083,3346.703315970083,619.15625,0.0,2.0
A03_M017_G00,A03_M017_G00,A03,M017,3864.0972027392836,4456.284702739284,592.1875,0.0,2.0
A03_M018_G00,A03_M018_G00,A03,M018,4935.432071715722,6190.025821715722,1254.59375,0.0,2.0
A03_M019_G00,A03_M019_G00,A03,M019,3052.764151878965,3103.857901878965,51.09375,0.0,2.0
A03_M019_G01,A03_M019_G01,A03,M019,3119.545401878965,3585.639151878965,466.09375,0.0,2.0
