atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
AN01_M003_G00,AN01_M003_G00,M003,747.8125,1603.84375,D26092512_008_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,0.14955749359428694,15.138353346482333,0.14955749359428694
AN01_M004_G00,AN01_M004_G00,M004,814.03125,1755.65625,D26092512_008_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,0.14955749359428694,15.138353346482333,0.14955749359428694
AN01_M015_G00,AN01_M015_G00,M015,816.0625,1245.75,D26092512_008_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,9.466834534918036,15.138353346482333,9.466834534918036
AN01_M016_G00,AN01_M016_G00,M016,816.0625,1245.75,D26092512_008_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,9.466834534918036,15.138353346482333,9.466834534918036
AN01_M023_G00,AN01_M023_G00,M023,741.6875,1140.6875,D26092512_008_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,0.31260605257193674,15.138353346482333,0.31260605257193674
AN01_M019_G00,AN01_M019_G00,M019,2486.8728226736384,2872.3103226736384,D26092512_008_R002,R02,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,13.002557010438537,2.43785423226241,2.43785423226241
AN01_M020_G00,AN01_M020_G00,M020,2102.922766596983,2518.360266596983,D26092512_008_R002,R02,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,13.002557010438537,2.43785423226241,2.43785423226241
AN01_M022_G00,AN01_M022_G00,M022,1953.620662821857,2754.620662821857,D26092512_008_R002,R02,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,1.6281698264162543,2.43785423226241,1.6281698264162543
AN01_M024_G00,AN01_M024_G00,M024,2315.2827802929446,2934.4390302929446,D26092512_008_R002,R02,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,17.38358245881338,2.43785423226241,2.43785423226241
AN01_M005_G00,AN01_M005_G00,M005,5661.397336883545,6483.022336883545,D26092512_008_R004,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,3.9055423871373875,11.397135806608844,3.9055423871373875
AN01_M008_G00,AN01_M008_G00,M008,7609.877935159428,7635.221685159428,D26092512_008_R004,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076615513440018,11.397135806608844,8.076615513440018
AN01_M008_G01,AN01_M008_G01,M008,7642.721685159428,8054.065435159428,D26092512_008_R004,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718
AN01_M008_G02,AN01_M008_G02,M008,8061.596685159428,8086.940435159428,D26092512_008_R004,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076450462346799,11.397135806608844,8.076450462346799
