sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U07,C,BAT-C-03,1692.170391878965,2172.170391878965,S001,3186.34078375793,2.917555936277246,3.4824440637227543,6,76.0,AN01
M002,U07,C,BAT-C-02,0.0,570.0,S001,1692.170391878965,2.995742764547403,3.4042572354525973,9,78.0,AN01
M003,U02,A,BAT-A-02,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,AN01
M004,U08,C,BAT-C-01,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,AN01
M005,U06,B,BAT-B-03,4896.397336883545,5256.397336883545,S003,6916.940435159428,2.655141697198476,0.5448583028015244,2,22.0,AN01
M006,U08,C,BAT-C-04,2378.094900857493,2858.094900857493,S003,4814.206045194573,5.897111425303905,0.5028885746960956,6,59.0,AN01
M007,U08,C,BAT-C-01,4814.206045194573,5294.206045194573,S004,7115.267111787736,6.152897007997176,0.2471029920028247,6,59.0,AN01
M008,U06,B,BAT-B-02,6916.940435159428,7276.940435159428,S005,8433.115297131011,1.8842768459804273,1.3157231540195728,2,22.0,AN01
M009,U06,B,BAT-B-02,3380.222474911961,3740.222474911961,S005,4896.397336883545,1.8345062099378917,1.3654937900621085,2,20.0,AN01
M010,U01,A,BAT-A-04,2998.86092861454,3358.86092861454,S005,4691.057180232666,2.1213050740389403,1.4786949259610598,2,17.0,AN01
M011,U04,A,BAT-A-01,2420.0729632500556,2780.0729632500556,S006,3733.5582298470385,1.3570321467642898,2.2429678532357102,2,22.0,AN01
M012,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,AN01
M013,U01,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,AN01
M014,U02,A,BAT-A-03,2505.969900857493,2835.969900857493,S007,4173.405223531132,1.8725171200874788,1.7274828799125213,1,14.0,AN01
M015,U03,A,BAT-A-04,24.712660903505366,384.71266090350537,S007,1752.1479835771438,1.9708885880958245,1.6291114119041756,2,22.0,AN01
M016,U04,A,BAT-A-03,24.712660903505366,384.71266090350537,S007,1752.1479835771438,1.8274326219446961,1.772567378055304,2,9.0,AN01
M017,U07,C,BAT-C-02,3186.34078375793,3636.34078375793,S008,5386.052868350104,5.836023632389955,0.5639763676100458,5,45.0,AN01
M018,U05,B,BAT-B-01,6856.284185159428,7246.284185159428,S009,8414.726432553836,2.096210537071622,1.1037894629283782,3,25.0,AN01
M019,U03,A,BAT-A-06,1752.1479835771438,2082.147983577144,S010,3347.0073818987394,1.92131533083843,1.67868466916157,1,14.0,AN01
M020,U01,A,BAT-A-05,1344.0015302929446,1704.0015302929446,S010,2998.86092861454,1.892423901801982,1.7075760981980181,2,11.0,AN01
M021,U05,B,BAT-B-01,3309.8298362630276,3699.8298362630276,S011,4498.253486374628,1.0739337252089312,2.126066274791069,3,25.0,AN01
M022,U05,B,BAT-B-03,1387.0952802929446,1777.0952802929446,S012,3309.8298362630276,2.75235444190214,0.44764555809786,3,25.0,AN01
M023,U06,B,BAT-B-02,0.0,390.0,S013,1510.4702802929446,1.8247182633032644,1.3752817366967358,3,25.0,AN01
M024,U06,B,BAT-B-04,1510.4702802929446,1900.4702802929446,S014,3380.222474911961,2.1403030047614893,1.059696995238511,3,25.0,AN01
M025,U05,B,BAT-B-04,4863.147336883545,5253.147336883545,S015,6691.435920903995,2.3074247845590743,0.8925752154409259,3,25.0,AN01
