uav_id,sortie_id,busy_start_s,busy_end_s
U08,M001,0.0,1626.170391878965
U07,M002,0.0,1560.170391878965
U02,M003,0.0,2003.7375242139126
U08,M004,1679.2011126682712,3787.013131306979
U06,M005,5535.502033010006,7616.045131285889
U08,M006,4022.4991866049495,6323.560253198113
U08,M007,6323.560254198113,8200.755412393655
U01,M008,0.0,1727.4353226736384
U05,M009,7534.21934117705,9436.061648344094
U05,M010,5572.377033010006,7534.21934017705
U06,M011,7616.045132285889,9174.487379680297
U05,M012,0.0,1555.376902446339
U06,M013,3717.3467463417273,4905.770396453328
U06,M014,0.0,1922.734555970083
U06,M015,2206.876465048782,3717.346745341727
U05,M016,1688.4198626682712,3558.1720572872878
U05,M017,3558.1720582872877,5386.4606423077375
U07,M018,6296.439435480407,8924.051582205764
U07,M019,1560.170392878965,4039.744552715722
