atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
A11_M003_G00,A11_M003_G00,A11,M003,747.8125,1603.84375,856.03125,0.0,2.0
A11_M004_G00,A11_M004_G00,A11,M004,814.03125,1755.65625,941.625,0.0,2.0
A11_M005_G00,A11_M005_G00,A11,M005,3798.9071849185784,4731.500934918578,932.59375,0.0,2.0
A11_M006_G00,A11_M006_G00,A11,M006,2408.107901878965,3452.951651878965,1044.84375,0.0,2.0
A11_M007_G00,A11_M007_G00,A11,M007,5001.122585064868,5845.591335064868,844.46875,0.0,2.0
A11_M008_G00,A11_M008_G00,A11,M008,4082.419740995234,4113.075990995234,30.65625,0.0,2.0
A11_M008_G01,A11_M008_G01,A11,M008,4123.482240995234,4560.075990995234,436.59375,0.0,2.0
A11_M008_G02,A11_M008_G02,A11,M008,4570.450990995234,4601.138490995234,30.6875,0.0,2.0
A11_M009_G00,A11_M009_G00,A11,M009,3822.94898879194,3848.29273879194,25.34375,0.0,2.0
A11_M009_G01,A11_M009_G01,A11,M009,3855.79273879194,4267.13648879194,411.34375,0.0,2.0
A11_M009_G02,A11_M009_G02,A11,M009,4274.66773879194,4300.01148879194,25.34375,0.0,2.0
A11_M010_G00,A11_M010_G00,A11,M010,4468.970588943534,4499.626838943534,30.65625,0.0,2.0
A11_M010_G01,A11_M010_G01,A11,M010,4510.033088943534,4946.626838943534,436.59375,0.0,2.0
A11_M010_G02,A11_M010_G02,A11,M010,4957.001838943534,4987.689338943534,30.6875,0.0,2.0
A11_M014_G00,A11_M014_G00,A11,M014,2648.440316676013,3048.127816676013,399.6875,0.0,2.0
A11_M015_G00,A11_M015_G00,A11,M015,816.0625,1245.75,429.6875,0.0,2.0
A11_M016_G00,A11_M016_G00,A11,M016,816.0625,1245.75,429.6875,0.0,2.0
A11_M017_G00,A11_M017_G00,A11,M017,4634.4511805176735,5590.7011805176735,956.25,0.0,2.0
A11_M018_G00,A11_M018_G00,A11,M018,5352.936360763523,5876.842610763523,523.90625,0.0,2.0
A11_M019_G00,A11_M019_G00,A11,M019,2486.872832673638,2872.310332673638,385.4375,0.0,2.0
A11_M020_G00,A11_M020_G00,A11,M020,2102.9227765969827,2518.3602765969827,415.4375,0.0,2.0
A11_M022_G00,A11_M022_G00,A11,M022,1953.620672821857,2754.6206728218567,800.9999999999998,0.0,2.0
A11_M023_G00,A11_M023_G00,A11,M023,741.6875,1140.6875,399.0,0.0,2.0
A11_M024_G00,A11_M024_G00,A11,M024,2315.282790292945,2934.439040292945,619.15625,0.0,2.0
A11_M025_G00,A11_M025_G00,A11,M025,5382.603796975273,5974.791296975273,592.1875,0.0,2.0
