atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
A03_M003_G00,A03_M003_G00,M003,747.8125,1603.84375,A03_Q3_001_R001,R01,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,1.2735129256524829,2.099203328999508,1.2735129256524829
A03_M012_G00,A03_M012_G00,M012,753.6875,1171.15625,A03_Q3_001_R001,R01,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,14.97253526452974,2.099203328999508,2.099203328999508
A03_M014_G00,A03_M014_G00,M014,746.34375,1547.34375,A03_Q3_001_R001,R01,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,5.145316592407042,2.099203328999508,2.099203328999508
A03_M008_G00,A03_M008_G00,M008,816.0625,1245.75,A03_Q3_001_R002,R02,E52_9026ce0d2a5dd9a75ef73c8e,TRANSPORT_RELAY_G01,1,0.8347239862368383,6.720084116703532,0.8347239862368383
A03_M015_G00,A03_M015_G00,M015,2948.563965048782,3347.563965048782,A03_Q3_001_R004,R01,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,0.3453400539276714,16.7256600789149,0.3453400539276714
A03_M017_G00,A03_M017_G00,M017,4356.422058287288,4948.609558287288,A03_Q3_001_R004,R01,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,5.940365891923506,16.7256600789149,5.940365891923506
A03_M019_G00,A03_M019_G00,M019,3052.7641428789652,3103.8578928789652,A03_Q3_001_R004,R01,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,9.782149270293914,16.7256600789149,9.782149270293914
A03_M019_G01,A03_M019_G01,M019,3119.5453928789652,3585.6391428789652,A03_Q3_001_R004,R01,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,9.63131941890856,16.7256600789149,9.63131941890856
A03_M004_G00,A03_M004_G00,M004,2493.2323626682714,3434.8573626682714,A03_Q3_001_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,1.2735129256524829,2.099203328999508,1.2735129256524829
A03_M016_G00,A03_M016_G00,M016,2493.2323626682714,3112.3886126682714,A03_Q3_001_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,8.748145591440831,2.099203328999508,2.099203328999508
A03_M006_G00,A03_M006_G00,M006,4977.2804366049495,5821.7491866049495,A03_Q3_001_R005,R02,E52_30110e5b3ae38ecfab28ace2,TRANSPORT_RELAY_G01,1,5.268987734543231,10.05954008012911,5.268987734543231
A03_M005_G00,A03_M005_G00,M005,6330.502033010006,7182.127033010006,A03_Q3_001_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,3.9055423871373875,11.397135806608844,3.9055423871373875
A03_M007_G00,A03_M007_G00,M007,7149.747754198113,7175.091504198113,A03_Q3_001_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076658413675005,11.397135806608844,8.076658413675005
A03_M007_G01,A03_M007_G01,M007,7182.591504198113,7801.841504198113,A03_Q3_001_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718
A03_M007_G02,A03_M007_G02,M007,7809.372754198113,7834.716504198113,A03_Q3_001_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076334561991871,11.397135806608844,8.076334561991871
A03_M009_G00,A03_M009_G00,M009,8262.34434117705,9051.59434117705,A03_Q3_001_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679
A03_M010_G00,A03_M010_G00,M010,6330.502033010006,7149.752033010006,A03_Q3_001_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679
A03_M011_G00,A03_M011_G00,M011,8322.795132285888,8846.701382285888,A03_Q3_001_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,1.9898130596061634,11.397135806608844,1.9898130596061634
A03_M018_G00,A03_M018_G00,M018,7192.126935480407,8446.720685480406,A03_Q3_001_R007,R02,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,3.0205906267075733,16.45726286038159,3.0205906267075733
