sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U07,C,BAT-C-03,1692.1703928789648,2172.170392878965,S001,3186.3407847579297,2.917555936277246,3.4824440637227543,6,76.0,A11
M002,U07,C,BAT-C-02,0.0,570.0,S001,1692.170391878965,2.995742764547403,3.4042572354525973,9,78.0,A11
M003,U04,A,BAT-A-04,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,A11
M004,U08,C,BAT-C-01,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,A11
M005,U01,A,BAT-A-03,3594.9073881499235,3954.9073881499235,S003,5857.561410327459,3.083579679483661,0.5164203205163389,2,22.0,A11
M006,U08,C,BAT-C-04,2107.812019638708,2587.812019638708,S003,4543.923163975788,5.897111425303905,0.5028885746960956,6,59.0,A11
M007,U08,C,BAT-C-01,4543.9231649757885,5023.9231649757885,S004,6844.984231568952,6.152897007997176,0.2471029920028247,6,59.0,A11
M008,U03,A,BAT-A-05,3665.3448881499235,4025.3448881499235,S005,5357.541139768049,2.192966633451616,1.4070333665483843,2,22.0,A11
M009,U06,B,BAT-B-03,5455.508473170374,5815.508473170374,S005,6971.683335141957,1.8345062099378917,1.3654937900621085,2,20.0,A11
M010,U02,A,BAT-A-04,3665.3448881499235,4025.3448881499235,S005,5357.541139768049,2.1213050740389403,1.4786949259610598,2,17.0,A11
M011,U03,A,BAT-A-01,1832.3778076760132,2192.377807676013,S006,3145.863074272996,1.3570321467642898,2.2429678532357102,2,22.0,A11
M012,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,A11
M013,U01,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,A11
M014,U04,A,BAT-A-02,2425.36030334655,2755.36030334655,S007,4092.7956260201886,1.8725171200874788,1.7274828799125213,1,14.0,A11
M015,U02,A,BAT-A-03,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,A11
M016,U03,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.8274326219446961,1.772567378055304,2,9.0,A11
M017,U07,C,BAT-C-02,3591.0011381499235,4041.0011381499235,S008,5790.713222742098,5.836023632389955,0.5639763676100458,5,45.0,A11
M018,U05,B,BAT-B-04,4584.353778975273,4974.353778975273,S009,6142.796026369681,2.096210537071622,1.1037894629283782,3,25.0,A11
M019,U02,A,BAT-A-06,1727.4353236736385,2057.4353236736383,S010,3322.2947219952343,1.92131533083843,1.67868466916157,1,14.0,A11
M020,U01,A,BAT-A-05,1313.485267596983,1673.485267596983,S010,2968.344665918579,1.892423901801982,1.7075760981980181,2,11.0,A11
M021,U05,B,BAT-B-01,3130.01147079194,3520.01147079194,S011,4318.435120903541,1.0739337252089312,2.126066274791069,3,25.0,A11
M022,U05,B,BAT-B-03,1207.276913821857,1597.276913821857,S012,3130.0114697919403,2.75235444190214,0.44764555809786,3,25.0,A11
M023,U06,B,BAT-B-02,0.0,390.0,S013,1510.4702802929446,1.8247182633032644,1.3752817366967358,3,25.0,A11
M024,U06,B,BAT-B-04,1510.4702812929447,1900.4702812929447,S014,3380.2224759119613,2.1403030047614893,1.059696995238511,3,25.0,A11
M025,U06,B,BAT-B-02,3627.2198881499235,4017.2198881499235,S015,5455.508472170373,2.3074247845590743,0.8925752154409259,3,25.0,A11
