uav_id,sortie_id,busy_start_s,busy_end_s
U08,M001,1692.1703918789658,3186.3407837579307
U08,M002,9.094947017729282e-13,1692.1703918789658
U04,M003,0.0,2003.7375242139126
U07,M004,0.0,2107.812018638708
U01,M005,3015.7949162853183,5278.448938462854
U07,M006,2229.9711520450537,4666.082296382134
U07,M007,5447.663055587405,7748.724122180569
U03,M008,3708.845568943533,5401.041820561659
U05,M009,6730.23030298182,8246.405164953405
U02,M010,3322.294720995231,5014.4909726133565
U01,M011,0.0,1313.485266596983
U05,M012,-1.0083020945341067e-12,1207.276912821856
U03,M013,2395.3603023465503,3708.845568943533
U04,M014,2466.8031370124318,4134.23845968607
U02,M015,0.0,1727.4353226736384
U03,M016,0.0,1727.4353226736384
U08,M017,3247.950970995231,5447.663055587405
U06,M018,5171.788055587405,6730.230302981814
U02,M019,1727.4353226736387,3322.2947209952345
U01,M020,1313.4852665969818,2968.3446649185776
U06,M021,3452.5662249119614,4640.9898750235625
U05,M022,1356.5790165969818,3279.313572567065
U06,M023,72.34375,1582.8140302929446
U06,M024,1582.8140302929448,3452.5662249119614
U05,M025,3390.5024020450537,5218.790986065504
