box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S001-HYG-01,M001,S001,1182.2701959394824,10800.0,,,True,0.10946946258698911,AN01
S001-WAT-02,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,AN01
S001-WAT-03,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,AN01
S001-WAT-04,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,AN01
S001-WAT-05,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,AN01
S001-WAT-06,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,AN01
S001-MED-01,M002,S001,2874.44058781844,3600.0,3600.0,3600.0,True,0.7984557188384555,AN01
S001-MED-02,M002,S001,2874.44058781844,3600.0,,3600.0,True,0.7984557188384555,AN01
S001-HYG-02,M002,S001,2874.44058781844,10800.0,,,True,0.26615190627948515,AN01
S001-FOD-01,M002,S001,2874.44058781844,7200.0,,,True,0.3992278594192277,AN01
S001-FOD-02,M002,S001,2874.44058781844,7200.0,,,True,0.3992278594192277,AN01
S001-FOD-03,M002,S001,2874.44058781844,7200.0,,,True,0.3992278594192277,AN01
S001-WAT-07,M002,S001,2874.44058781844,3600.0,,,True,0.7984557188384555,AN01
S001-WAT-08,M002,S001,2874.44058781844,3600.0,,,True,0.7984557188384555,AN01
S001-WAT-01,M002,S001,2874.44058781844,3600.0,3600.0,3600.0,True,0.7984557188384555,AN01
S002-FOD-01,M003,S002,1283.8087621069562,7200.0,,,True,0.17830677251485502,AN01
S002-WAT-02,M003,S002,1283.8087621069562,3600.0,,,True,0.35661354502971004,AN01
S002-MED-01,M004,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,AN01
S002-HYG-01,M004,S002,1487.3160093193542,10800.0,,,True,0.1377144453073476,AN01
S002-FOD-02,M004,S002,1487.3160093193542,7200.0,,,True,0.20657166796102142,AN01
S002-WAT-03,M004,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,AN01
S002-WAT-04,M004,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,AN01
S002-WAT-01,M004,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,AN01
S003-FOD-01,M005,S003,6547.795649440263,10800.0,,,True,0.6062773749481726,AN01
S003-WAT-01,M005,S003,6547.795649440263,7200.0,7200.0,7200.0,True,0.9094160624222588,AN01
S003-MED-01,M006,S003,3753.3275908072474,7200.0,7200.0,7200.0,True,0.5212954987232288,AN01
S003-HYG-01,M006,S003,3753.3275908072474,14400.0,,,True,0.2606477493616144,AN01
S003-FOD-02,M006,S003,3753.3275908072474,10800.0,,,True,0.34753033248215254,AN01
S003-WAT-02,M006,S003,3753.3275908072474,7200.0,,,True,0.5212954987232288,AN01
S003-WAT-03,M006,S003,3753.3275908072474,7200.0,,,True,0.5212954987232288,AN01
S003-WAT-04,M006,S003,3753.3275908072474,7200.0,,,True,0.5212954987232288,AN01
S004-MED-01,M007,S004,5629.841858361451,7200.0,7200.0,7200.0,True,0.7819224803279793,AN01
S004-HYG-01,M007,S004,5629.841858361451,14400.0,,,True,0.39096124016398964,AN01
S004-FOD-01,M007,S004,5629.841858361451,10800.0,,,True,0.5212816535519862,AN01
S004-WAT-02,M007,S004,5629.841858361451,7200.0,,,True,0.7819224803279793,AN01
S004-WAT-03,M007,S004,5629.841858361451,7200.0,,,True,0.7819224803279793,AN01
S004-WAT-01,M007,S004,5629.841858361451,7200.0,7200.0,7200.0,True,0.7819224803279793,AN01
S005-FOD-01,M008,S005,9406.7255857065,14400.0,,,True,0.6532448323407292,AN01
S005-WAT-01,M008,S005,9406.7255857065,10800.0,10800.0,10800.0,True,0.8709931097876388,AN01
S005-HYG-01,M009,S005,4784.220002649867,18000.0,,,True,0.2657900001472148,AN01
S005-WAT-02,M009,S005,4784.220002649867,10800.0,,,True,0.44298333357869135,AN01
S005-MED-01,M010,S005,5915.624309444718,10800.0,10800.0,10800.0,True,0.5477429916152516,AN01
S005-WAT-03,M010,S005,5915.624309444718,10800.0,,,True,0.5477429916152516,AN01
S006-FOD-01,M011,S006,3330.866268978375,7200.0,,,True,0.4626203151358854,AN01
S006-WAT-01,M011,S006,3330.866268978375,3600.0,3600.0,3600.0,True,0.9252406302717708,AN01
S006-HYG-01,M012,S006,882.4017897442618,10800.0,,,True,0.08170386942076498,AN01
S006-WAT-02,M012,S006,882.4017897442618,3600.0,,,True,0.24511160826229494,AN01
S006-MED-01,M013,S006,935.5059666318248,3600.0,3600.0,3600.0,True,0.2598627685088402,AN01
S006-WAT-03,M013,S006,935.5059666318248,3600.0,,,True,0.2598627685088402,AN01
S007-WAT-02,M014,S007,3548.160798349251,3600.0,,,True,0.9856002217636808,AN01
S007-FOD-01,M015,S007,1141.357661336819,7200.0,,,True,0.15852189740789155,AN01
S007-WAT-01,M015,S007,1141.357661336819,3600.0,3600.0,3600.0,True,0.3170437948157831,AN01
S007-MED-01,M016,S007,1141.357661336819,3600.0,3600.0,3600.0,True,0.3170437948157831,AN01
S007-HYG-01,M016,S007,1141.357661336819,10800.0,,,True,0.10568126493859437,AN01
S008-MED-01,M017,S008,6210.121809265076,7200.0,7200.0,7200.0,True,0.8625169179534828,AN01
S008-HYG-01,M017,S008,6210.121809265076,14400.0,,,True,0.4312584589767414,AN01
S008-FOD-01,M017,S008,6210.121809265076,10800.0,,,True,0.5750112786356552,AN01
S008-WAT-02,M017,S008,6210.121809265076,7200.0,,,True,0.8625169179534828,AN01
S008-WAT-01,M017,S008,6210.121809265076,7200.0,7200.0,7200.0,True,0.8625169179534828,AN01
S009-MED-01,M018,S009,8944.317611751245,10800.0,10800.0,10800.0,True,0.8281775566436338,AN01
S009-FOD-01,M018,S009,8944.317611751245,14400.0,,,True,0.6211331674827253,AN01
S009-WAT-01,M018,S009,8944.317611751245,10800.0,10800.0,10800.0,True,0.8281775566436338,AN01
S010-WAT-01,M019,S010,2772.401688501103,3600.0,3600.0,3600.0,True,0.7701115801391952,AN01
S010-MED-01,M020,S010,2418.4516324244455,3600.0,3600.0,3600.0,True,0.6717921201179016,AN01
S010-FOD-01,M020,S010,2418.4516324244455,7200.0,,,True,0.3358960600589508,AN01
S011-MED-01,M021,S011,4185.712064289531,10800.0,10800.0,10800.0,True,0.38756593187866023,AN01
S011-FOD-01,M021,S011,4185.712064289531,14400.0,,,True,0.2906744489089952,AN01
S011-WAT-01,M021,S011,4185.712064289531,10800.0,10800.0,10800.0,True,0.38756593187866023,AN01
S012-MED-01,M022,S012,2627.8762945820226,7200.0,3600.0,3600.0,True,0.3649828186919476,AN01
S012-FOD-01,M022,S012,2627.8762945820226,7200.0,,,True,0.3649828186919476,AN01
S012-WAT-01,M022,S012,2627.8762945820226,3600.0,3600.0,3600.0,True,0.7299656373838952,AN01
S013-MED-01,M023,S013,1062.7684734798056,3600.0,3600.0,3600.0,True,0.29521346485550154,AN01
S013-FOD-01,M023,S013,1062.7684734798056,7200.0,,,True,0.14760673242775077,AN01
S013-WAT-01,M023,S013,1062.7684734798056,3600.0,3600.0,3600.0,True,0.29521346485550154,AN01
S014-MED-01,M024,S014,2752.903044269119,7200.0,3600.0,3600.0,True,0.38234764503737767,AN01
S014-FOD-01,M024,S014,2752.903044269119,7200.0,,,True,0.38234764503737767,AN01
S014-WAT-01,M024,S014,2752.903044269119,3600.0,3600.0,3600.0,True,0.7646952900747553,AN01
S015-MED-01,M025,S015,5966.251456068217,7200.0,7200.0,7200.0,True,0.8286460355650301,AN01
S015-FOD-01,M025,S015,5966.251456068217,14400.0,,,True,0.41432301778251507,AN01
S015-WAT-01,M025,S015,5966.251456068217,10800.0,10800.0,10800.0,True,0.5524306903766867,AN01
