uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U07,M002,1494.1703918789572,3186.340783757922
U04,M003,0.0,2003.7375242139126
U08,M004,0.0,2107.812018638708
U06,M005,5259.550766968989,7280.093865244871
U08,M006,2107.8120186387073,4543.923162975787
U07,M007,4046.34132506487,6347.402391658034
U06,M008,8365.881488054041,9882.056350025625
U06,M009,3743.3759049974087,5259.550766968992
U01,M010,4786.769516968989,6478.965768587114
U03,M011,2395.3603023465503,3708.845568943533
U05,M012,0.0,1207.276912821857
U01,M013,0.0,1313.485266596983
U04,M014,2466.8031370124318,4134.23845968607
U02,M015,0.0,1727.4353226736384
U03,M016,0.0,1727.4353226736384
U08,M017,4712.425766968989,6912.137851561163
U05,M018,7853.506488054041,9411.94873544845
U02,M019,1727.4353226736384,3322.294720995234
U01,M020,1313.485266596981,2968.3446649185767
U05,M021,3279.3135725670636,4467.737222678665
U05,M022,1356.579016596981,3279.313572567064
U06,M023,0.0,1510.4702802929446
U06,M024,1510.4702802929442,3380.2224749119605
U05,M025,4748.667164057992,6576.9557480784415
