box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S001-HYG-01,M001,S001,1182.2701959394824,10800.0,,,True,0.10946946258698911,C01
S001-WAT-02,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,C01
S001-WAT-03,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,C01
S001-WAT-04,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,C01
S001-WAT-05,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,C01
S001-WAT-06,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,C01
S001-MED-01,M002,S001,3488.1701959394823,3600.0,3600.0,3600.0,True,0.9689361655387451,C01
S001-MED-02,M002,S001,3488.1701959394823,3600.0,,3600.0,True,0.9689361655387451,C01
S001-HYG-02,M002,S001,3488.1701959394823,10800.0,,,True,0.3229787218462484,C01
S001-FOD-01,M002,S001,3488.1701959394823,7200.0,,,True,0.48446808276937253,C01
S001-FOD-02,M002,S001,3488.1701959394823,7200.0,,,True,0.48446808276937253,C01
S001-FOD-03,M002,S001,3488.1701959394823,7200.0,,,True,0.48446808276937253,C01
S001-WAT-07,M002,S001,3488.1701959394823,3600.0,,,True,0.9689361655387451,C01
S001-WAT-08,M002,S001,3488.1701959394823,3600.0,,,True,0.9689361655387451,C01
S001-WAT-01,M002,S001,3488.1701959394823,3600.0,3600.0,3600.0,True,0.9689361655387451,C01
S002-FOD-01,M003,S002,2951.3087621069562,7200.0,,,True,0.4099039947370773,C01
S002-WAT-02,M003,S002,2951.3087621069562,3600.0,,,True,0.8198079894741546,C01
S002-MED-01,M004,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,C01
S002-HYG-01,M004,S002,1487.3160093193542,10800.0,,,True,0.1377144453073476,C01
S002-FOD-02,M004,S002,1487.3160093193542,7200.0,,,True,0.20657166796102142,C01
S002-WAT-03,M004,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,C01
S002-WAT-04,M004,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,C01
S002-WAT-01,M004,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,C01
S003-FOD-01,M005,S003,3750.9003444221007,10800.0,,,True,0.3473055874464908,C01
S003-WAT-01,M005,S003,3750.9003444221007,7200.0,7200.0,7200.0,True,0.5209583811697363,C01
S004-MED-01,M006,S004,5629.900533296582,7200.0,7200.0,7200.0,True,0.7819306296245252,C01
S004-HYG-01,M006,S004,5629.900533296582,14400.0,,,True,0.3909653148122626,C01
S004-FOD-01,M006,S004,5629.900533296582,10800.0,,,True,0.5212870864163501,C01
S004-WAT-02,M006,S004,5629.900533296582,7200.0,,,True,0.7819306296245252,C01
S004-WAT-03,M006,S004,5629.900533296582,7200.0,,,True,0.7819306296245252,C01
S004-WAT-01,M006,S004,5629.900533296582,7200.0,7200.0,7200.0,True,0.7819306296245252,C01
S006-MED-01,M007,S006,2703.6247629701734,3600.0,3600.0,3600.0,True,0.7510068786028259,C01
S006-HYG-01,M007,S006,2703.6247629701734,10800.0,,,True,0.25033562620094196,C01
