uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U08,M002,2107.9,3800.070391878965
U04,M003,1667.5,3671.2375242139124
U08,M004,0.0,2107.812018638708
U01,M005,2341.6,4604.254022177535
U08,M006,4046.4,6347.461066593163
U07,M007,1494.2,3055.759525940347
U01,M008,0.0,1667.4353226736384
U02,M009,0.0,1727.4353226736384
U07,M010,3055.8,5255.512084592175
U05,M011,3380.3,4938.742247394409
U06,M012,0.0,1555.376902446339
U06,M013,1555.4,3478.134555970083
U05,M014,0.0,1510.4702802929446
U05,M015,1510.5,3380.2521946190163
U06,M016,3478.2,5306.48858402045
U07,M017,5255.6,7949.212146725356
U08,M018,6347.5,8586.667913324178
U03,M019,0.0,2037.4128238548003
