sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-C-01,480.0,1494.170391878965,0.6353055079653442,1623.5047327417542,3117.675124620719
M002,BAT-C-04,2677.9,3800.070391878965,0.6255321544315746,1644.6803320649215,5444.750723943886
M003,BAT-A-06,2027.5,3671.2375242139124,0.32918662148352795,1372.0573920714135,5043.294916285326
M004,BAT-C-02,480.0,2107.812018638708,0.26837108934177256,2418.5293064261596,4526.341325064868
M005,BAT-A-02,2701.6,4604.254022177535,0.31476007122585303,1390.8119074063911,5995.065929583927
M006,BAT-C-02,4733.9,6554.961066593163,0.23088787400035304,2499.7429396659018,9054.704006259064
M007,BAT-C-03,1974.2,3055.759525940347,0.6752529517883454,1536.9519377919182,4592.711463732265
M008,BAT-A-01,330.0,1667.4353226736384,0.5838850844250048,1040.9493902474937,2708.384712921132
M009,BAT-A-03,360.0,1727.4353226736384,0.5620247582009279,1069.3678143387936,2796.8031370124318
M010,BAT-C-01,3613.0,5362.7120845921745,0.2704970459512557,2413.923067105613,7776.6351516977875
M011,BAT-B-01,4146.5,5314.942247394409,0.4759473657320945,1575.0245660643693,6889.966813458778
M012,BAT-A-05,1984.9,3249.7593983215957,0.57304103759146,1055.046651131102,4304.806049452698
M013,BAT-A-02,360.0,1654.8593983215956,0.5794613551551151,1046.7002382983503,2701.559636619946
M014,BAT-B-02,1597.3,3130.0345559700827,0.31191138952446495,1859.3535914909273,4989.38814746101
M015,BAT-B-01,390.0,1510.4702802929446,0.5438204341741839,1457.3779140980812,2967.8481943910256
M016,BAT-B-03,2276.7,3756.452194619016,0.4649242488096277,1594.131302063312,5350.583496682328
M017,BAT-B-04,3520.1,4958.38858402045,0.4231438038602314,1666.5507399755988,6624.939323996049
M018,BAT-C-03,5872.8,8056.412146725356,0.2223013671486127,2518.3470378446723,10574.759184570028
M019,BAT-C-04,7065.0,8794.167913324178,0.4058463152052443,2120.6663170553043,10914.834230379482
M020,BAT-A-04,390.0,2037.4128238548003,0.5310972384563633,1109.573590006728,3146.9864138615285
