atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
C01_M003_G00,C01_M003_G00,M003,1913.4821635189774,2769.5134135189774,C01_Q3_001_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,0.14955749359428694,15.138353346482333,0.14955749359428694
C01_M004_G00,C01_M004_G00,M004,814.03125,1755.65625,C01_Q3_001_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,0.14955749359428694,15.138353346482333,0.14955749359428694
C01_M008_G00,C01_M008_G00,M008,2369.8259135189774,2769.5134135189774,C01_Q3_001_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,9.466834534918036,15.138353346482333,9.466834534918036
C01_M009_G00,C01_M009_G00,M009,2339.8259135189774,2769.5134135189774,C01_Q3_001_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,9.466834534918036,15.138353346482333,9.466834534918036
C01_M014_G00,C01_M014_G00,M014,741.6874999999854,1140.6874999999854,C01_Q3_001_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,0.31260605257193674,15.138353346482333,0.31260605257193674
C01_M019_G00,C01_M019_G00,M019,846.0625,1237.21875,C01_Q3_001_R001,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,9.466834534918036,15.138353346482333,9.466834534918036
C01_M012_G00,C01_M012_G00,M012,3268.462382110164,3685.931132110164,C01_Q3_001_R002,R02,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,12.986294405095663,2.43785423226241,2.43785423226241
C01_M013_G00,C01_M013_G00,M013,3075.0464720149585,3876.0464720149585,C01_Q3_001_R002,R02,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,1.6281698264162543,2.43785423226241,1.6281698264162543
C01_M015_G00,C01_M015_G00,M015,1449.835187491154,2068.991437491154,C01_Q3_001_R002,R02,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,17.38358245881338,2.43785423226241,2.43785423226241
C01_M005_G00,C01_M005_G00,M005,6468.4219278314595,7401.0156778314595,C01_Q3_001_R004,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975
C01_M011_G00,C01_M011_G00,M011,10415.938876302796,10939.845126302796,C01_Q3_001_R004,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,0.6683873012807737,3.8094716871601975,0.6683873012807737
C01_M016_G00,C01_M016_G00,M016,6780.665707989775,7372.853207989775,C01_Q3_001_R004,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,9.695128280784644,3.8094716871601975,3.8094716871601975
C01_M017_G00,C01_M017_G00,M017,6468.4219278314595,7763.9844278314595,C01_Q3_001_R004,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975
C01_M018_G00,C01_M018_G00,M018,10229.388415773592,10288.169665773592,C01_Q3_001_R004,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,6.038282482399694,3.8094716871601975,3.8094716871601975
C01_M018_G01,C01_M018_G01,M018,10320.169665773592,10905.044665773592,C01_Q3_001_R004,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.7107574847429134,3.8094716871601975,3.8094716871601975
C01_M018_G02,C01_M018_G02,M018,10912.575915773592,10937.919665773592,C01_Q3_001_R004,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,6.054499862301242,3.8094716871601975,3.8094716871601975
C01_M006_G00,C01_M006_G00,M006,5001.122575064865,5845.591325064865,C01_Q3_001_R003,R01,E52_30110e5b3ae38ecfab28ace2,TRANSPORT_RELAY_G01,1,5.268987734543231,10.05954008012911,5.268987734543231
C01_M010_G00,C01_M010_G00,M010,4159.241093239242,5115.491093239242,C01_Q3_001_R003,R01,E52_30110e5b3ae38ecfab28ace2,TRANSPORT_RELAY_G01,1,0.871248743195423,10.05954008012911,0.871248743195423
