sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U08,C,BAT-C-04,2417.7298040605174,2897.7298040605174,S001,3911.9001959394823,2.917555936277246,3.4824440637227543,6,76.0,C01
M002,U07,C,BAT-C-03,1632.6019513602791,2202.601951360279,S001,3324.772343239244,2.995742764547403,3.4042572354525973,9,78.0,C01
M003,U02,A,BAT-A-02,1165.6696635189774,1525.6696635189774,S002,3169.4071877328897,3.0186602033241243,0.5813397966758758,2,22.0,C01
M004,U08,C,BAT-C-02,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,C01
M005,U01,A,BAT-A-05,5637.8594278314595,5997.8594278314595,S003,7900.513450008995,3.083579679483661,0.5164203205163389,2,22.0,C01
M006,U08,C,BAT-C-02,4046.341325064865,4526.341325064865,S004,6347.402391658028,6.152897007997176,0.2471029920028247,6,59.0,C01
M007,U07,C,BAT-C-01,0.0,480.0,S006,1561.559525940347,2.5979763856932365,3.802023614306764,6,59.0,C01
M008,U04,A,BAT-A-04,1583.7634135189774,1913.7634135189774,S007,3251.198736192616,1.8725171200874788,1.7274828799125213,1,14.0,C01
M009,U03,A,BAT-A-03,1523.7634135189774,1883.7634135189774,S007,3251.198736192616,1.9708885880958245,1.6291114119041756,2,22.0,C01
M010,U07,C,BAT-C-01,3324.772343239242,3774.772343239242,S008,5524.484427831417,5.836023632389955,0.5639763676100458,5,45.0,C01
M011,U05,B,BAT-B-02,9709.188876302796,10099.188876302796,S009,11267.631123697203,2.096210537071622,1.1037894629283782,3,25.0,C01
M012,U06,B,BAT-B-04,2514.774882110164,2904.774882110164,S010,4070.151784556503,1.8231457316476736,1.3768542683523266,3,25.0,C01
M013,U05,B,BAT-B-03,2328.7027220149585,2718.7027220149585,S012,4251.437277985042,2.75235444190214,0.44764555809786,3,25.0,C01
M014,U05,B,BAT-B-01,-1.4551915228366852e-11,389.99999999998545,S013,1510.47028029293,1.8247182633032644,1.3752817366967358,3,25.0,C01
M015,U06,B,BAT-B-02,645.0226874911541,1035.022687491154,S014,2514.7748821101704,2.1403030047614893,1.059696995238511,3,25.0,C01
M016,U06,B,BAT-B-01,5982.415707989775,6372.415707989775,S015,7810.704292010225,2.3074247845590743,0.8925752154409259,3,25.0,C01
M017,U07,C,BAT-C-03,5524.4844278314595,6034.4844278314595,S003>S007,8218.096574556816,6.221589062811098,0.178410937188902,7,65.0,C01
M018,U08,C,BAT-C-04,9064.794665773592,9574.794665773592,S011>S005,11303.96257909777,4.753229478358046,1.6467705216419546,7,73.0,C01
M019,U01,A,BAT-A-01,0.0,390.0,S007>S011,2037.4128238548003,2.1100624269463655,1.4899375730536346,3,14.0,C01
