atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
N01_M003_G00,N01_M003_G00,N01,M003,2580.2125,3436.24375,856.03125,0.0,2.0
N01_M004_G00,N01_M004_G00,N01,M004,2308.23125,3249.85625,941.625,0.0,2.0
N01_M005_G00,N01_M005_G00,N01,M005,4434.0625,5366.65625,932.59375,0.0,2.0
N01_M006_G00,N01_M006_G00,N01,M006,4486.0375,5494.88125,1008.84375,0.0,2.0
N01_M007_G00,N01_M007_G00,N01,M007,3708.9625,4611.55625,902.5937499999995,0.0,2.0
N01_M008_G00,N01_M008_G00,N01,M008,2646.98125,3491.45,844.46875,0.0,2.0
N01_M009_G00,N01_M009_G00,N01,M009,4596.325,4626.98125,30.65625,0.0,2.0
N01_M009_G01,N01_M009_G01,N01,M009,4637.3875,5073.98125,436.59375,0.0,2.0
N01_M009_G02,N01_M009_G02,N01,M009,5084.35625,5115.04375,30.6875,0.0,2.0
N01_M010_G00,N01_M010_G00,N01,M010,3801.125,3831.78125,30.65625,0.0,2.0
N01_M010_G01,N01_M010_G01,N01,M010,3842.1875,4278.78125,436.59375,0.0,2.0
N01_M010_G02,N01_M010_G02,N01,M010,4289.15625,4319.84375,30.6875,0.0,2.0
N01_M014_G00,N01_M014_G00,N01,M014,2661.6625,3061.35,399.6875,0.0,2.0
N01_M015_G00,N01_M015_G00,N01,M015,2129.5625,2559.25,429.6875,0.0,2.0
N01_M016_G00,N01_M016_G00,N01,M016,816.0625,1245.75,429.6875,0.0,2.0
N01_M017_G00,N01_M017_G00,N01,M017,5790.125,6549.375,759.25,0.0,2.0
N01_M018_G00,N01_M018_G00,N01,M018,5503.41875,6387.79375,884.375,0.0,2.0
N01_M019_G00,N01_M019_G00,N01,M019,3888.225,4707.475,819.2500000000005,0.0,2.0
N01_M020_G00,N01_M020_G00,N01,M020,2072.9375,2458.375,385.4375,0.0,2.0
N01_M021_G00,N01_M021_G00,N01,M021,789.4375,1204.875,415.4375,0.0,2.0
N01_M023_G00,N01_M023_G00,N01,M023,746.34375,1547.34375,801.0,0.0,2.0
N01_M024_G00,N01_M024_G00,N01,M024,741.6875,1140.6875,399.0,0.0,2.0
N01_M025_G00,N01_M025_G00,N01,M025,2315.3125,2934.46875,619.15625,0.0,2.0
N01_M026_G00,N01_M026_G00,N01,M026,5378.85,5971.0375,592.1875,0.0,2.0
N01_M027_G00,N01_M027_G00,N01,M027,4771.08125,5880.89375,1109.8125,0.0,2.0
N01_M027_G01,N01_M027_G01,N01,M027,5888.39375,5913.7375,25.34375,0.0,2.0
