atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
T03_M003_G00,T03_M003_G00,T03,M003,747.8125,1603.84375,856.03125,0.0,2.0
T03_M004_G00,T03_M004_G00,T03,M004,2506.23125,3447.85625,941.625,0.0,2.0
T03_M005_G00,T03_M005_G00,T03,M005,4539.4625,5472.05625,932.59375,0.0,2.0
T03_M006_G00,T03_M006_G00,T03,M006,2408.1375,3452.98125,1044.84375,0.0,2.0
T03_M007_G00,T03_M007_G00,T03,M007,4754.88125,5599.35,844.46875,0.0,2.0
T03_M008_G00,T03_M008_G00,T03,M008,4082.525,4113.18125,30.656249999999545,0.0,2.0
T03_M008_G01,T03_M008_G01,T03,M008,4123.5875,4560.18125,436.59375,0.0,2.0
T03_M008_G02,T03_M008_G02,T03,M008,4570.55625,4601.24375,30.6875,0.0,2.0
T03_M009_G00,T03_M009_G00,T03,M009,3823.0375,3848.38125,25.34375,0.0,2.0
T03_M009_G01,T03_M009_G01,T03,M009,3855.88125,4267.225,411.34375000000045,0.0,2.0
T03_M009_G02,T03_M009_G02,T03,M009,4274.75625,4300.1,25.34375,0.0,2.0
T03_M010_G00,T03_M010_G00,T03,M010,5023.225,5053.88125,30.65625,0.0,2.0
T03_M010_G01,T03_M010_G01,T03,M010,5064.2875,5500.88125,436.59375,0.0,2.0
T03_M010_G02,T03_M010_G02,T03,M010,5511.25625,5541.94375,30.6875,0.0,2.0
T03_M014_G00,T03_M014_G00,T03,M014,2648.4625,3048.15,399.6875,0.0,2.0
T03_M015_G00,T03_M015_G00,T03,M015,816.0625,1245.75,429.6875,0.0,2.0
T03_M016_G00,T03_M016_G00,T03,M016,2129.5625,2559.25,429.6875,0.0,2.0
T03_M017_G00,T03_M017_G00,T03,M017,4764.86875,5721.11875,956.25,0.0,2.0
T03_M018_G00,T03_M018_G00,T03,M018,5353.05,5876.95625,523.90625,0.0,2.0
T03_M019_G00,T03_M019_G00,T03,M019,2486.9375,2872.375,385.4375,0.0,2.0
T03_M020_G00,T03_M020_G00,T03,M020,789.5375,1204.975,415.4374999999999,0.0,2.0
T03_M023_G00,T03_M023_G00,T03,M023,1953.64375,2754.64375,801.0000000000002,0.0,2.0
T03_M024_G00,T03_M024_G00,T03,M024,2664.4875,3063.4875,399.0,0.0,2.0
T03_M025_G00,T03_M025_G00,T03,M025,804.8125,1423.96875,619.15625,0.0,2.0
T03_M026_G00,T03_M026_G00,T03,M026,4171.55,4703.7375,532.1875,0.0,2.0
T03_M027_G00,T03_M027_G00,T03,M027,4851.3125,5482.6875,631.375,0.0,2.0
