atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
T01_M003_G00,T01_M003_G00,M003,750.5125,1606.54375,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.932092754264744,10.01648148125875,7.932092754264744
T01_M004_G00,T01_M004_G00,M004,2506.23125,3447.85625,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.914652990064113,10.01648148125875,7.914652990064113
T01_M007_G00,T01_M007_G00,M007,4754.88125,5599.35,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.640389078516122,10.01648148125875,4.640389078516122
T01_M008_G00,T01_M008_G00,M008,3801.225,3831.88125,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.238548150312667,10.01648148125875,4.238548150312667
T01_M008_G02,T01_M008_G02,M008,4289.25625,4319.94375,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.23840511893961,10.01648148125875,4.23840511893961
T01_M010_G00,T01_M010_G00,M010,5186.825,5217.48125,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.238548150312667,10.01648148125875,4.238548150312667
T01_M017_G00,T01_M017_G00,M017,2328.7687499999993,3285.0187499999993,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,0.4692401324579123,10.01648148125875,0.4692401324579123
T01_M018_G00,T01_M018_G00,M018,3424.55,3948.45625,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,8.13999814940189,10.01648148125875,8.13999814940189
T01_M023_G00,T01_M023_G00,M023,2660.44375,3461.44375,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.697786272509717,10.01648148125875,7.697786272509717
T01_M024_G00,T01_M024_G00,M024,741.6875,1140.6875000000002,T01_C2_SITE_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,5.870320954293348,10.01648148125875,5.870320954293348
T01_M005_G00,T01_M005_G00,M005,4589.362499999999,5521.956249999999,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975
T01_M006_G00,T01_M006_G00,M006,4578.037499999999,5586.881249999999,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975
T01_M008_G01,T01_M008_G01,M008,3842.2875,4278.88125,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.7107574847429134,3.8094716871601975,3.8094716871601975
T01_M009_G00,T01_M009_G00,M009,4969.2375,4994.58125,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,6.054245942866345,3.8094716871601975,3.8094716871601975
T01_M009_G01,T01_M009_G01,M009,5002.08125,5413.425,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.7107574847429134,3.8094716871601975,3.8094716871601975
T01_M009_G02,T01_M009_G02,M009,5420.95625,5446.3,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,6.054440843763871,3.8094716871601975,3.8094716871601975
T01_M010_G01,T01_M010_G01,M010,5227.8875,5664.48125,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.7107574847429134,3.8094716871601975,3.8094716871601975
T01_M010_G02,T01_M010_G02,M010,5674.85625,5705.54375,T01_C2_SITE_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,6.062004867839818,3.8094716871601975,3.8094716871601975
