uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U08,M002,0.0,1692.170391878965
U03,M003,22.8,2026.5375242139125
U08,M004,1692.2,3800.0120186387085
U04,M005,3709.0,5971.654022177536
U07,M006,3694.0999999999995,6130.2111443370795
U08,M007,3800.1,6101.161066593163
U02,M008,4324.3,6016.496251618126
U05,M009,4276.4,5792.574861971583
U03,M010,4263.2,5955.3962516181255
U01,M011,1594.9,2908.385266596983
U05,M012,0.0,1207.276912821857
U02,M013,0.1,1313.5852665969828
U02,M014,2475.7,4143.135322673638
U03,M015,2290.0,4017.4353226736384
U04,M016,1928.9,3656.3353226736385
U07,M017,1494.2000000000003,3693.9120845921743
U05,M018,2717.9,4276.342247394408
U01,M019,0.0,1594.8593983215956
U04,M020,60.1,1714.9593983215955
U02,M021,1313.6,2475.626919003433
U01,M022,4911.5,6133.526919003433
U06,M023,1869.8,3792.5345559700827
U05,M024,1207.4,2717.8702802929447
U06,M025,0.0,1869.7521946190166
U06,M026,3792.6,5500.88858402045
U01,M027,2942.8,4911.404336389495
