sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U07,C,BAT-C-01,0.0,480.0,S001,1494.170391878965,2.917555936277246,3.4824440637227543,6,76.0,T03
M002,U08,C,BAT-C-02,0.0,570.0,S001,1692.170391878965,2.995742764547403,3.4042572354525973,9,78.0,T03
M003,U04,A,BAT-A-04,1.1,361.1,S002,2004.8375242139125,3.0186602033241243,0.5813397966758758,2,22.0,T03
M004,U08,C,BAT-C-04,1692.2,2172.2,S002,3800.0120186387085,5.8530312852658195,0.5469687147341808,6,59.0,T03
M005,U03,A,BAT-A-04,3770.9,4130.9,S003,6033.554022177535,3.083579679483661,0.5164203205163389,2,22.0,T03
M006,U07,C,BAT-C-01,3694.0999999999995,4174.099999999999,S003,6130.2111443370795,5.897111425303905,0.5028885746960956,6,59.0,T03
M007,U08,C,BAT-C-02,3800.1,4280.1,S004,6101.161066593163,6.152897007997176,0.2471029920028247,6,59.0,T03
M008,U04,A,BAT-A-06,4468.9,4828.9,S005,6161.096251618126,2.192966633451616,1.4070333665483843,2,22.0,T03
M009,U06,B,BAT-B-04,4635.6,4995.6,S005,6151.774861971584,1.8345062099378917,1.3654937900621085,2,20.0,T03
M010,U01,A,BAT-A-05,4263.2,4623.2,S005,5955.3962516181255,2.1213050740389403,1.4786949259610598,2,17.0,T03
M011,U02,A,BAT-A-02,0.09999999999990905,360.0999999999999,S006,1313.5852665969828,1.3570321467642898,2.2429678532357102,2,22.0,T03
M012,U06,B,BAT-B-04,1869.8,2229.8,S006,3077.076912821857,1.1381343643981743,2.061865635601826,2,20.0,T03
M013,U02,A,BAT-A-05,1313.6,1673.6,S006,2627.085266596983,1.3115511002735658,2.2884488997264345,2,17.0,T03
M014,U03,A,BAT-A-06,2103.4,2433.4,S007,3770.8353226736385,1.8725171200874788,1.7274828799125213,1,14.0,T03
M015,U04,A,BAT-A-01,2290.0,2650.0,S007,4017.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,T03
M016,U01,A,BAT-A-02,2073.4,2433.4,S007,3800.8353226736385,1.8274326219446961,1.772567378055304,2,9.0,T03
M017,U07,C,BAT-C-03,1494.2999999999997,1944.2999999999993,S008,3694.012084592174,5.836023632389955,0.5639763676100458,5,45.0,T03
M018,U06,B,BAT-B-02,3077.1,3467.1,S009,4635.542247394409,2.096210537071622,1.1037894629283782,3,25.0,T03
M019,U01,A,BAT-A-01,0.0,330.0,S010,1594.8593983215956,1.92131533083843,1.67868466916157,1,14.0,T03
M020,U03,A,BAT-A-03,0.1,360.1,S010,1654.9593983215955,1.892423901801982,1.7075760981980181,2,11.0,T03
M021,U05,B,BAT-B-03,5141.6,5471.6,S011,6210.0236501116015,0.9363840062271078,2.263615993772892,1,14.0,T03
M022,U02,A,BAT-A-02,4595.8,4955.8,S011,5817.826919003433,1.1156815267778617,2.4843184732221384,2,11.0,T03
M023,U05,B,BAT-B-03,1510.5,1900.5,S012,3433.2345559700825,2.75235444190214,0.44764555809786,3,25.0,T03
M024,U05,B,BAT-B-02,0.0,390.0000000000002,S013,1510.4702802929444,1.8247182633032644,1.3752817366967358,3,25.0,T03
M025,U06,B,BAT-B-01,0.0,390.0,S014,1869.7521946190163,2.1403030047614893,1.059696995238511,3,25.0,T03
M026,U05,B,BAT-B-01,3433.3,3763.3,S015,5141.58858402045,2.00951162910229,1.19048837089771,1,14.0,T03
M027,U02,A,BAT-A-03,2627.1,2987.1,S015,4595.704336389495,2.3923327310224494,1.2076672689775507,2,11.0,T03
