sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U08,C,BAT-C-02,0.0,540.0,S001,1626.170391878965,2.995742764547403,3.4042572354525973,8,78.0,F04
M002,U07,C,BAT-C-01,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,F04
M003,U08,C,BAT-C-03,1626.2,2076.2,S002,3668.0120186387085,5.721185016831143,0.6788149831688575,5,56.0,F04
M004,U05,B,BAT-B-03,1207.3,1597.3,S002,3023.993933921912,2.7133927146782657,0.4866072853217345,3,25.0,F04
M005,U04,A,BAT-A-03,0.0,360.0,S003,2262.6540221775354,3.083579679483661,0.5164203205163389,2,22.0,F04
M006,U08,C,BAT-C-01,3668.1,4148.1,S003,6104.2111443370795,5.897111425303905,0.5028885746960956,6,59.0,F04
M007,U07,C,BAT-C-02,4171.5,4651.5,S004,6472.561066593164,6.152897007997176,0.2471029920028247,6,59.0,F04
M008,U03,A,BAT-A-04,3383.7,3743.7,S005,5075.8962516181255,2.192966633451616,1.4070333665483843,2,22.0,F04
M009,U06,B,BAT-B-02,3792.6,4152.6,S005,5308.774861971584,1.8345062099378917,1.3654937900621085,2,20.0,F04
M010,U03,A,BAT-A-01,2070.2,2430.2,S006,3383.6852665969827,1.3570321467642898,2.2429678532357102,2,22.0,F04
M011,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,F04
M012,U01,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,F04
M013,U04,A,BAT-A-02,2822.1,3182.1,S008,4993.246128791162,3.308427818047446,0.2915721819525543,2,22.0,F04
M014,U05,B,BAT-B-01,3024.0,3384.0,S008,4925.842307167044,2.763432587771086,0.43656741222891426,2,20.0,F04
M015,U05,B,BAT-B-03,4925.9,5315.9,S009,6484.342247394408,2.096210537071622,1.1037894629283782,3,25.0,F04
M016,U02,A,BAT-A-06,2010.2,2340.2,S010,3605.059398321596,1.92131533083843,1.67868466916157,1,14.0,F04
M017,U06,B,BAT-B-04,5308.8,5698.8,S011,6497.2236501116,1.0739337252089312,2.126066274791069,3,25.0,F04
M018,U06,B,BAT-B-02,0.0,390.0,S012,1922.734555970083,2.75235444190214,0.44764555809786,3,25.0,F04
M019,U06,B,BAT-B-04,1922.8,2312.8,S014,3792.5521946190165,2.1403030047614893,1.059696995238511,3,25.0,F04
M020,U01,A,BAT-A-05,1313.5,1703.5,S005>S008,3806.66865389721,3.2574496183066746,0.3425503816933255,3,20.0,F04
M021,U07,C,BAT-C-04,1560.2,2100.2,S007>S015,4171.485752513388,5.382167635838981,1.017832364161019,8,70.0,F04
M022,U03,A,BAT-A-04,0.0,390.0,S013>S010,2070.1480721987136,2.2147727667516826,1.3852272332483175,3,14.0,F04
M023,U02,A,BAT-A-02,0.0,360.0,S013>S010,2010.1480721987134,2.3258738992438883,1.2741261007561118,2,22.0,F04
