uav_id,sortie_id,busy_start_s,busy_end_s
U08,M001,2107.9,3734.070391878965
U07,M002,0.0,1560.170391878965
U08,M003,0.0,2041.8120186387082
U06,M004,0.0,1816.6939339219116
U03,M005,1845.6,4108.254022177535
U08,M006,3734.1,6170.2111443370795
U07,M007,4171.5,6472.561066593164
U03,M008,0.0,1692.1962516181256
U06,M009,3739.5,5255.674861971584
U01,M010,0.0,1313.485266596983
U05,M011,1510.5,2717.776912821857
U02,M012,0.0,1313.485266596983
U01,M013,2908.4,5079.546128791162
U05,M014,2717.8,4619.642307167044
U05,M015,4619.7,6178.1422473944085
U01,M016,1313.5,2908.3593983215956
U06,M017,5255.7,6444.1236501116
U06,M018,1816.7,3739.4345559700832
U05,M019,0.0,1510.4702802929446
U04,M020,2435.8,4928.96865389721
U07,M021,1560.2,4171.485752513388
U02,M022,1692.2,4007.5221711868726
U04,M023,0.0,2255.322171186872
