box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S001-HYG-01,M001,S001,1314.2701959394824,10800.0,,,True,0.12169168480921133,F08
S001-HYG-02,M001,S001,1314.2701959394824,10800.0,,,True,0.12169168480921133,F08
S001-FOD-01,M001,S001,1314.2701959394824,7200.0,,,True,0.182537527213817,F08
S001-FOD-02,M001,S001,1314.2701959394824,7200.0,,,True,0.182537527213817,F08
S001-FOD-03,M001,S001,1314.2701959394824,7200.0,,,True,0.182537527213817,F08
S001-WAT-02,M001,S001,1314.2701959394824,3600.0,,,True,0.365075054427634,F08
S001-WAT-03,M001,S001,1314.2701959394824,3600.0,,,True,0.365075054427634,F08
S001-WAT-01,M001,S001,1314.2701959394824,3600.0,3600.0,3600.0,True,0.365075054427634,F08
S001-MED-01,M002,S001,3549.370195939482,3600.0,3600.0,3600.0,True,0.985936165538745,F08
S001-MED-02,M002,S001,3549.370195939482,3600.0,,3600.0,True,0.985936165538745,F08
S001-WAT-04,M002,S001,3549.370195939482,3600.0,,,True,0.985936165538745,F08
S001-WAT-05,M002,S001,3549.370195939482,3600.0,,,True,0.985936165538745,F08
S001-WAT-06,M002,S001,3549.370195939482,3600.0,,,True,0.985936165538745,F08
S001-WAT-07,M002,S001,3549.370195939482,3600.0,,,True,0.985936165538745,F08
S001-WAT-08,M002,S001,3549.370195939482,3600.0,,,True,0.985936165538745,F08
S002-FOD-01,M003,S002,1283.8087621069562,7200.0,,,True,0.17830677251485502,F08
S002-WAT-02,M003,S002,1283.8087621069562,3600.0,,,True,0.35661354502971004,F08
S003-FOD-01,M004,S003,4733.000344422101,10800.0,,,True,0.43824077263167605,F08
S003-WAT-01,M004,S003,4733.000344422101,7200.0,7200.0,7200.0,True,0.657361158947514,F08
S003-MED-01,M005,S003,5506.81557216854,7200.0,7200.0,7200.0,True,0.7648354961345194,F08
S003-HYG-01,M005,S003,5506.81557216854,14400.0,,,True,0.3824177480672597,F08
S003-FOD-02,M005,S003,5506.81557216854,10800.0,,,True,0.5098903307563463,F08
S003-WAT-02,M005,S003,5506.81557216854,7200.0,,,True,0.7648354961345194,F08
S003-WAT-03,M005,S003,5506.81557216854,7200.0,,,True,0.7648354961345194,F08
S003-WAT-04,M005,S003,5506.81557216854,7200.0,,,True,0.7648354961345194,F08
S004-MED-01,M006,S004,1583.5005332965816,7200.0,7200.0,7200.0,True,0.21993062962452523,F08
S004-HYG-01,M006,S004,1583.5005332965816,14400.0,,,True,0.10996531481226261,F08
S004-FOD-01,M006,S004,1583.5005332965816,10800.0,,,True,0.14662041974968348,F08
S004-WAT-02,M006,S004,1583.5005332965816,7200.0,,,True,0.21993062962452523,F08
S004-WAT-03,M006,S004,1583.5005332965816,7200.0,,,True,0.21993062962452523,F08
S004-WAT-01,M006,S004,1583.5005332965816,7200.0,7200.0,7200.0,True,0.21993062962452523,F08
S005-MED-01,M007,S005,5782.232579097771,10800.0,10800.0,10800.0,True,0.5353919054720159,F08
S005-HYG-01,M007,S005,5782.232579097771,18000.0,,,True,0.3212351432832095,F08
