uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U08,M002,0.0,1692.170391878965
U02,M003,1313.5,3317.2375242139124
U07,M004,1494.2,3602.0120186387085
U06,M005,3792.6,5873.143098275883
U08,M006,3892.0,6193.061066593164
U01,M007,4165.6,5857.796251618126
U05,M008,4624.4,6140.574861971583
U01,M009,0.0,1253.485266596983
U04,M010,0.1,1313.5852665969828
U02,M011,0.0,1253.485266596983
U04,M012,1752.6,3066.085266596983
U03,M013,2310.1,4037.5353226736383
U08,M014,1692.2,3891.9120845921743
U05,M015,3065.9,4624.342247394408
U05,M016,0.0,1555.376902446339
U06,M017,0.0,1922.734555970083
U05,M018,1555.4,3065.8702802929447
U06,M019,1922.8,3792.5521946190165
U07,M020,3602.1,6229.712146725356
U04,M021,3317.3,5323.572279197948
U03,M022,0.0,2310.010855345105
U01,M023,1253.5,3467.236160371923
U02,M024,3527.3,5741.036160371923
