atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
F05_M003_G00,F05_M003_G00,F05,M003,784.03125,1689.65625,905.625,0.0,2.0
F05_M004_G00,F05_M004_G00,F05,M004,711.9375,1482.6875,770.75,0.0,2.0
F05_M005_G00,F05_M005_G00,F05,M005,2676.1625,3608.75625,932.59375,0.0,2.0
F05_M006_G00,F05_M006_G00,F05,M006,4648.0375,5692.88125,1044.84375,0.0,2.0
F05_M007_G00,F05_M007_G00,F05,M007,5126.28125,5970.75,844.46875,0.0,2.0
F05_M008_G00,F05_M008_G00,F05,M008,760.125,790.78125,30.65625,0.0,2.0
F05_M008_G01,F05_M008_G01,F05,M008,801.1875,1237.78125,436.59375,0.0,2.0
F05_M008_G02,F05_M008_G02,F05,M008,1248.15625,1278.84375,30.6875,0.0,2.0
F05_M009_G00,F05_M009_G00,F05,M009,4432.4375,4457.78125,25.34375,0.0,2.0
F05_M009_G01,F05_M009_G01,F05,M009,4465.28125,4876.625,411.34375,0.0,2.0
F05_M009_G02,F05_M009_G02,F05,M009,4884.15625,4909.5,25.34375,0.0,2.0
F05_M013_G00,F05_M013_G00,F05,M013,3708.61875,4622.99375,914.3749999999995,0.0,2.0
F05_M014_G00,F05_M014_G00,F05,M014,3445.925,4235.175,789.25,0.0,2.0
F05_M015_G00,F05_M015_G00,F05,M015,5326.45,5850.35625,523.90625,0.0,2.0
F05_M016_G00,F05_M016_G00,F05,M016,2072.9375,2458.375,385.4375,0.0,2.0
F05_M018_G00,F05_M018_G00,F05,M018,2563.04375,3364.04375,801.0,0.0,2.0
F05_M019_G00,F05_M019_G00,F05,M019,741.6875,1140.6875,399.0,0.0,2.0
F05_M020_G00,F05_M020_G00,F05,M020,3225.925,3256.58125,30.65625,0.0,2.0
F05_M020_G01,F05_M020_G01,F05,M020,3266.9875,3655.64375,388.65625,0.0,2.0
F05_M020_G02,F05_M020_G02,F05,M020,3692.3625,4472.39375,780.03125,0.0,2.0
F05_M021_G00,F05_M021_G00,F05,M021,2515.8875,3689.23125,1173.34375,0.0,2.0
F05_M022_G00,F05_M022_G00,F05,M022,2562.54375,3557.54375,995.0,0.0,2.0
F05_M023_G00,F05_M023_G00,F05,M023,789.4375,1744.03125,954.59375,0.0,2.0
