atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
F12_M003_G00,F12_M003_G00,M003,2061.4125,2917.44375,F12_C2_SITE_B6500_RELAY_00_Q3_R002,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.932092754264744,10.01648148125875,7.932092754264744
F12_M004_G00,F12_M004_G00,M004,2506.23125,3447.85625,F12_C2_SITE_B6500_RELAY_00_Q3_R002,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.914652990064113,10.01648148125875,7.914652990064113
F12_M007_G00,F12_M007_G00,M007,4754.88125,5599.35,F12_C2_SITE_B6500_RELAY_00_Q3_R002,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.640389078516122,10.01648148125875,4.640389078516122
F12_M008_G00,F12_M008_G00,M008,5144.725,5175.38125,F12_C2_SITE_B6500_RELAY_00_Q3_R002,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.238548150312667,10.01648148125875,4.238548150312667
F12_M009_G00,F12_M009_G00,M009,4969.2375,4994.58125,F12_C2_SITE_B6500_RELAY_00_Q3_R002,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.234854704213106,10.01648148125875,4.234854704213106
F12_M017_G00,F12_M017_G00,M017,2328.66875,3284.91875,F12_C2_SITE_B6500_RELAY_00_Q3_R002,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,0.4692401324579123,10.01648148125875,0.4692401324579123
F12_M022_G00,F12_M022_G00,M022,2616.14375,3417.14375,F12_C2_SITE_B6500_RELAY_00_Q3_R002,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.697786272509717,10.01648148125875,7.697786272509717
F12_M005_G00,F12_M005_G00,M005,4547.262499999999,5479.856249999999,F12_C2_SITE_B6500_RELAY_00_Q3_R003,R01,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975
F12_M006_G00,F12_M006_G00,M006,4577.9375,5586.78125,F12_C2_SITE_B6500_RELAY_00_Q3_R003,R01,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975
F12_M008_G01,F12_M008_G01,M008,5185.7875,5622.38125,F12_C2_SITE_B6500_RELAY_00_Q3_R003,R01,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.7107574847429134,3.8094716871601975,3.8094716871601975
