uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U08,M002,0.0,1692.170391878965
U02,M003,1313.6,3317.3375242139127
U08,M004,1692.2,3800.0120186387085
U03,M005,3716.7,5979.354022177535
U07,M006,3694.0,6064.11114433708
U08,M007,3800.1,6101.161066593163
U01,M008,4384.6,6076.796251618126
U05,M009,4276.3,5792.474861971584
U04,M010,4329.4,6021.596251618125
U02,M011,0.0,1313.485266596983
U05,M012,1510.5,2717.776912821857
U01,M013,1162.1,2475.585266596983
U01,M014,2475.6,4143.035322673639
U03,M015,1989.2,3716.6353226736383
U04,M016,1989.2,3716.6353226736383
U07,M017,1494.2000000000003,3693.9120845921743
U05,M018,2717.8,4276.242247394409
U03,M019,0.09999999999990905,1594.9593983215955
U04,M020,0.2,1655.0593983215954
U01,M021,0.0,1162.0269190034332
U06,M022,1869.8,3792.5345559700827
U05,M023,0.0,1510.4702802929444
U06,M024,0.0,1869.7521946190166
U02,M025,3317.4,5920.758645968172
U06,M026,3792.7,5861.789038811861
