atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
F18_M003_G00,F18_M003_G00,M003,747.8125,1603.84375,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.932092754264744,10.01648148125875,7.932092754264744
F18_M004_G00,F18_M004_G00,M004,2308.23125,3249.85625,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.914652990064113,10.01648148125875,7.914652990064113
F18_M006_G00,F18_M006_G00,M006,4846.78125,5691.25,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.640389078516122,10.01648148125875,4.640389078516122
F18_M015_G00,F18_M015_G00,M015,2526.66875,3482.91875,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,0.4692401324579123,10.01648148125875,0.4692401324579123
F18_M016_G00,F18_M016_G00,M016,3772.75,4296.65625,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,8.13999814940189,10.01648148125875,8.13999814940189
F18_M018_G00,F18_M018_G00,M018,2616.14375,3417.14375,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.697786272509717,10.01648148125875,7.697786272509717
F18_M019_G00,F18_M019_G00,M019,2297.1875,2696.1875,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,5.870320954293348,10.01648148125875,5.870320954293348
F18_M022_G00,F18_M022_G00,M022,2716.66875,2789.16875,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,3.164832858154128,10.01648148125875,3.164832858154128
F18_M022_G02,F18_M022_G02,M022,3229.45,3260.10625,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.238502395812816,10.01648148125875,4.238502395812816
F18_M005_G00,F18_M005_G00,M005,3879.9625,4812.55625,F18_C2_SITE_3PAIR_B6500_RELAY_00_Q3_R003,R02,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975
