uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U08,M002,0.0,1692.170391878965
U03,M003,0.0,2003.7375242139124
U07,M004,1494.2,3602.0120186387085
U02,M005,3049.4,5312.054022177535
U08,M006,3892.0,6193.061066593164
U04,M007,4152.4,5844.596251618125
U06,M008,4624.5,6140.674861971584
U01,M009,0.0,1253.485266596983
U02,M010,1795.9,3049.385266596983
U04,M011,0.1,1313.5852665969828
U02,M012,0.0,1313.485266596983
U03,M013,2310.1,4037.5353226736383
U04,M014,2014.1,3741.5353226736383
U08,M015,1692.2,3891.9120845921743
U06,M016,3066.0,4624.442247394409
U06,M017,0.1,1555.476902446339
U05,M018,1869.8,3792.5345559700827
U06,M019,1555.5,3065.9702802929446
U05,M020,0.0,1869.7521946190166
U07,M021,3602.1,6295.712146725356
U01,M022,1667.2,3673.4722791979475
U01,M023,3673.5,5887.236160371923
U05,M024,3792.6,5861.689038811861
