atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
F13_M003_G00,F13_M003_G00,F13,M003,2061.3125,2917.34375,856.03125,0.0,2.0
F13_M004_G00,F13_M004_G00,F13,M004,2308.23125,3249.85625,941.625,0.0,2.0
F13_M005_G00,F13_M005_G00,F13,M005,4587.6,5439.225,851.625,0.0,2.0
F13_M006_G00,F13_M006_G00,F13,M006,4846.78125,5691.25,844.46875,0.0,2.0
F13_M007_G00,F13_M007_G00,F13,M007,4912.525,4943.18125,30.65625,0.0,2.0
F13_M007_G01,F13_M007_G01,F13,M007,4953.5875,5390.18125,436.59375,0.0,2.0
F13_M007_G02,F13_M007_G02,F13,M007,5400.55625,5431.24375,30.6875,0.0,2.0
F13_M008_G00,F13_M008_G00,F13,M008,5317.3375,5342.68125,25.34375,0.0,2.0
F13_M008_G01,F13_M008_G01,F13,M008,5350.18125,5761.525,411.34375,0.0,2.0
F13_M008_G02,F13_M008_G02,F13,M008,5769.05625,5794.4,25.34375,0.0,2.0
F13_M013_G00,F13_M013_G00,F13,M013,3126.1625,3555.85,429.6875,0.0,2.0
F13_M014_G00,F13_M014_G00,F13,M014,2526.66875,3482.91875,956.25,0.0,2.0
F13_M015_G00,F13_M015_G00,F13,M015,3772.65,4296.55625,523.9062499999995,0.0,2.0
F13_M016_G00,F13_M016_G00,F13,M016,753.6875,1171.15625,417.46875,0.0,2.0
F13_M017_G00,F13_M017_G00,F13,M017,746.34375,1547.34375,801.0,0.0,2.0
F13_M018_G00,F13_M018_G00,F13,M018,2297.0875,2696.0875,399.0,0.0,2.0
F13_M019_G00,F13_M019_G00,F13,M019,2727.6125,3346.76875,619.15625,0.0,2.0
F13_M020_G00,F13_M020_G00,F13,M020,4497.7875,5752.38125,1254.59375,0.0,2.0
F13_M021_G00,F13_M021_G00,F13,M021,4366.76875,4439.26875,72.5,0.0,2.0
F13_M021_G01,F13_M021_G01,F13,M021,4480.26875,4869.14375,388.875,0.0,2.0
F13_M021_G02,F13_M021_G02,F13,M021,4879.55,4910.20625,30.65625,0.0,2.0
F13_M022_G00,F13_M022_G00,F13,M022,846.0625,1806.59375,960.53125,0.0,2.0
F13_M023_G00,F13_M023_G00,F13,M023,2374.09375,2963.8125,589.71875,0.0,2.0
F13_M024_G00,F13_M024_G00,F13,M024,4647.89375,5237.6125,589.71875,0.0,2.0
