id,k,role,group,service
F13_Q4_K2_005,2,均衡优先,G1,S001
F13_Q4_K2_005,2,均衡优先,G1,S003
F13_Q4_K2_005,2,均衡优先,G1,S005
F13_Q4_K2_005,2,均衡优先,G1,S007
F13_Q4_K2_005,2,均衡优先,G1,S009
F13_Q4_K2_005,2,均衡优先,G1,S011
F13_Q4_K2_005,2,均衡优先,G1,S015
F13_Q4_K2_005,2,均衡优先,G2,S002
F13_Q4_K2_005,2,均衡优先,G2,S004
F13_Q4_K2_005,2,均衡优先,G2,S006
F13_Q4_K2_005,2,均衡优先,G2,S008
F13_Q4_K2_005,2,均衡优先,G2,S010
F13_Q4_K2_005,2,均衡优先,G2,S012
F13_Q4_K2_005,2,均衡优先,G2,S013
F13_Q4_K2_005,2,均衡优先,G2,S014
F13_Q4_K2_007,2,缺口优先,G1,S001
F13_Q4_K2_007,2,缺口优先,G2,S002
F13_Q4_K2_007,2,缺口优先,G2,S003
F13_Q4_K2_007,2,缺口优先,G2,S004
F13_Q4_K2_007,2,缺口优先,G2,S005
F13_Q4_K2_007,2,缺口优先,G2,S006
F13_Q4_K2_007,2,缺口优先,G2,S007
F13_Q4_K2_007,2,缺口优先,G2,S008
F13_Q4_K2_007,2,缺口优先,G2,S009
F13_Q4_K2_007,2,缺口优先,G2,S010
F13_Q4_K2_007,2,缺口优先,G2,S011
F13_Q4_K2_007,2,缺口优先,G2,S012
F13_Q4_K2_007,2,缺口优先,G2,S013
F13_Q4_K2_007,2,缺口优先,G2,S014
F13_Q4_K2_007,2,缺口优先,G2,S015
F13_Q4_K3_003,3,缺口优先,G1,S001
F13_Q4_K3_003,3,缺口优先,G2,S002
F13_Q4_K3_003,3,缺口优先,G2,S003
F13_Q4_K3_003,3,缺口优先,G2,S004
F13_Q4_K3_003,3,缺口优先,G2,S005
F13_Q4_K3_003,3,缺口优先,G2,S007
F13_Q4_K3_003,3,缺口优先,G2,S008
F13_Q4_K3_003,3,缺口优先,G2,S009
F13_Q4_K3_003,3,缺口优先,G2,S010
F13_Q4_K3_003,3,缺口优先,G2,S011
F13_Q4_K3_003,3,缺口优先,G2,S012
F13_Q4_K3_003,3,缺口优先,G2,S013
F13_Q4_K3_003,3,缺口优先,G2,S014
F13_Q4_K3_003,3,缺口优先,G2,S015
F13_Q4_K3_003,3,缺口优先,G3,S006
F13_Q4_K3_004,3,均衡优先,G1,S001
F13_Q4_K3_004,3,均衡优先,G1,S006
F13_Q4_K3_004,3,均衡优先,G2,S002
F13_Q4_K3_004,3,均衡优先,G2,S004
F13_Q4_K3_004,3,均衡优先,G2,S008
F13_Q4_K3_004,3,均衡优先,G2,S010
F13_Q4_K3_004,3,均衡优先,G2,S012
F13_Q4_K3_004,3,均衡优先,G2,S013
F13_Q4_K3_004,3,均衡优先,G2,S014
F13_Q4_K3_004,3,均衡优先,G3,S003
F13_Q4_K3_004,3,均衡优先,G3,S005
F13_Q4_K3_004,3,均衡优先,G3,S007
F13_Q4_K3_004,3,均衡优先,G3,S009
F13_Q4_K3_004,3,均衡优先,G3,S011
F13_Q4_K3_004,3,均衡优先,G3,S015
