uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,2266.52858491209,4375.611415087909
U07,M002,0.0,1969.2846571841203
U05,M003,0.0,1756.6939339219116
U02,M004,0.0,1727.4353226736384
U03,M005,0.0,1654.8593983215956
U04,M006,0.0,1612.1111816650089
U06,M007,0.0,1209.1015218431576
U06,M008,1209.1015218431576,2416.3784346650145
U04,M009,1612.1111816650089,3874.765203842544
U05,M010,1756.6939339219116,3678.3419450951533
U06,M011,2416.3784346650145,4318.220741832059
U05,M012,3678.3419450951533,5446.630529115603
U03,M013,1654.8593983215956,3347.055649939721
U01,M014,2109.0828301758197,4006.3441599388543
U02,M015,1727.4353226736384,3581.6091442300253
U08,M016,0.0,1428.170391878965
U08,M017,1428.170391878965,3535.982410517673
U07,M018,1969.2846571841203,3463.455049063085
U07,M019,3463.455049063085,4893.014575003432
U08,M020,3535.982410517673,5972.093554854753
U07,M021,4893.014575003432,6668.590022839608
U08,M022,5972.093554854753,8141.154621447917
U07,M023,6668.590022839608,8736.302107431782
U08,M024,8141.154621447917,9886.349779643459
U06,M025,4318.220741832059,5753.597644278398
U05,M026,5446.630529115603,7249.365085085687
U06,M027,5753.597644278398,7201.35305295145
U03,M028,3347.055649939721,5277.460184391877
U02,M029,3581.6091442300253,4772.510289494584
U06,M030,7201.35305295145,8639.795300345859
U05,M031,7249.365085085687,8317.788735197288
U07,M032,8736.302107431782,10570.82377657593
