sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-A-01,1869.4966884125806,3618.5795185884003,0.34267568748286925,1354.52160627227,4973.10112486067
M002,BAT-C-01,1869.4966884125806,3478.7813455967007,0.5444584484750425,1820.3400283040746,5299.121373900775
M003,BAT-B-01,1869.4966884125806,3266.190622334492,0.39184802105606753,1720.7967635028162,4986.9873858373085
M004,BAT-A-02,1869.4966884125806,3236.932011086219,0.5765975960294276,1050.423125161744,4287.355136247963
M005,BAT-A-03,1869.4966884125806,3164.356086734176,0.5655978254576951,1064.7228269049965,4229.078913639172
M006,BAT-A-04,1869.4966884125806,3121.6078700775897,0.5649083818765711,1065.6191035604575,4187.226973638048
M007,BAT-B-02,1899.4966884125806,2718.598210255738,0.7315098080940781,1132.0496659702646,3850.647876226003
M008,BAT-B-03,3078.598210255738,3925.875123077595,0.7253090653907963,1142.7976199892864,5068.672743066882
M009,BAT-A-05,3481.6078700775897,5384.261892255125,0.337339941623068,1361.4580758900115,6745.719968145137
M010,BAT-B-04,3626.190622334492,5187.838633507734,0.3558775332408115,1783.1456090492602,6970.984242556994
M011,BAT-B-02,4285.875123077595,5827.717430244639,0.3330795976001264,1822.6620308264476,7650.379461071087
M012,BAT-B-01,5547.838633507734,6956.127217528184,0.4823108550335087,1563.9945179419183,8520.121735470102
M013,BAT-A-06,3524.356086734176,4856.552338352301,0.5285988724357911,1112.8214658334716,5969.373804185773
M014,BAT-A-04,4187.226973638047,5515.840848351435,0.49893332368114396,1151.386679214513,6667.227527565948
M015,BAT-A-03,4229.078913639172,5091.105832642606,0.7439999486838502,832.8000667109948,5923.905899353601
M016,BAT-C-02,1959.4966884125806,2937.6670802915455,0.6599541709125436,1570.0992963561555,4507.766376647701
M017,BAT-C-03,3417.6670802915455,5045.479098930254,0.23679822438654818,2486.937180495812,7532.416279426066
M018,BAT-C-04,3958.7813455967007,4972.951737475665,0.6948571475394836,1494.476180331119,6467.4279178067845
M019,BAT-C-01,5392.951737475665,6402.511263416012,0.709024318036301,1463.7806442546812,7866.291907670693
M020,BAT-C-02,5525.479098930254,7481.590243267334,0.2313121578433852,2498.823658005999,9980.413901273332
M021,BAT-C-04,6792.511263416012,8178.086711252188,0.6061088974247377,1686.7640555797348,9864.850766831923
M022,BAT-C-01,7901.590243267334,9650.651309860497,0.3101913389002793,2327.9187657160614,11978.57007557656
M023,BAT-C-03,8568.086711252188,10245.798795844363,0.3248112489322408,2296.242293980145,12542.041089824508
M024,BAT-C-02,10070.651309860497,11395.84646805604,0.5266192194952495,1858.991691093626,13254.838159149665
M025,BAT-B-03,6157.717430244639,7263.094332690978,0.6211059515765082,1323.4163506007192,8586.510683291697
M026,BAT-B-04,7286.127217528184,8758.861773498267,0.4276288772351662,1658.7766127923783,10417.638386290646
M027,BAT-B-02,7650.379461071087,8710.84974136403,0.6211002766043003,1323.4261872192128,10034.275928583244
M028,BAT-A-01,5186.552338352301,6786.956872804458,0.5136655437848177,1132.2347930797368,7919.191665884195
M029,BAT-A-02,5421.105832642606,6282.006977907165,0.7382098677412959,840.3271719363153,7122.33414984348
M030,BAT-B-01,9040.84974136403,10149.29198875844,0.5643934439844132,1421.7180304270173,11571.010019185456
M031,BAT-B-03,9088.861773498267,9827.285423609868,0.7764359599206634,1054.17766947085,10881.463093080718
M032,BAT-C-04,10575.798795844363,12080.32046498851,0.5141514245902123,1886.0052467212067,13966.325711709716
