sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,1509.4966884125806,1869.4966884125806,S012,3618.5795185884003,2.957959406327088,0.6420405936729119,2,17.0,HARD
M002,U07,C,BAT-C-01,1509.4966884125806,1869.4966884125806,S014,3478.7813455967007,3.6443324121996596,2.7556675878003407,2,17.0,HARD
M003,U05,B,BAT-B-01,1509.4966884125806,1869.4966884125806,S002,3266.190622334492,2.43260791577573,0.7673920842242703,2,17.0,HARD
M004,U02,A,BAT-A-02,1509.4966884125806,1869.4966884125806,S007,3236.932011086219,1.905310817867576,1.6946891821324241,2,17.0,HARD
M005,U03,A,BAT-A-03,1509.4966884125806,1869.4966884125806,S010,3164.356086734176,1.954809785440372,1.645190214559628,2,17.0,HARD
M006,U04,A,BAT-A-04,1509.4966884125806,1869.4966884125806,S013,3121.6078700775897,1.95791228155543,1.6420877184445701,2,17.0,HARD
M007,U06,B,BAT-B-02,1509.4966884125806,1899.4966884125806,S001,2718.598210255738,1.073960767623688,2.1260392323763124,3,20.0,HARD
M008,U06,B,BAT-B-03,2718.598210255738,3078.598210255738,S006,3925.875123077595,1.0987637384368147,2.1012362615631854,2,17.0,HARD
M009,U04,A,BAT-A-05,3121.6078700775897,3481.6078700775897,S003,5384.261892255125,2.981970262696194,0.618029737303806,2,17.0,HARD
M010,U05,B,BAT-B-04,3266.190622334492,3626.190622334492,S004,5187.838633507734,2.576489867036754,0.6235101329632462,2,17.0,HARD
M011,U06,B,BAT-B-02,3925.875123077595,4285.875123077595,S008,5827.717430244639,2.6676816095994944,0.5323183904005058,2,17.0,HARD
M012,U05,B,BAT-B-01,5187.838633507734,5547.838633507734,S015,6956.127217528184,2.0707565798659653,1.129243420134035,2,17.0,HARD
M013,U03,A,BAT-A-06,3164.356086734176,3524.356086734176,S005,4856.552338352301,2.1213050740389403,1.4786949259610598,2,17.0,HARD
M014,U01,A,BAT-A-04,3618.5795185884003,4187.226973638047,S009,5515.840848351435,2.254800043434852,1.345199956565148,2,17.0,HARD
M015,U02,A,BAT-A-03,3236.932011086219,4229.078913639172,S011,5091.105832642606,1.1520002309226742,2.4479997690773256,2,17.0,HARD
M016,U08,C,BAT-C-02,1509.4966884125806,1959.4966884125806,S001,2937.6670802915455,2.720366632699651,3.679633367300349,5,70.0,HARD
M017,U08,C,BAT-C-03,2937.6670802915455,3417.6670802915455,S002,5045.479098930254,6.1056142049076145,0.2943857950923858,6,64.0,HARD
M018,U07,C,BAT-C-04,3478.7813455967007,3958.7813455967007,S001,4972.951737475665,2.441142819684132,3.9588571803158685,6,58.0,HARD
M019,U07,C,BAT-C-01,4972.951737475665,5392.951737475665,S006,6402.511263416012,2.327805455709593,4.072194544290408,4,42.0,HARD
M020,U08,C,BAT-C-02,5045.479098930254,5525.479098930254,S003,7481.590243267334,6.149502737252918,0.25049726274708206,6,64.0,HARD
M021,U07,C,BAT-C-04,6402.511263416012,6792.511263416012,S007,8178.086711252188,3.1511288206020978,3.2488711793979026,3,28.0,HARD
M022,U08,C,BAT-C-01,7481.590243267334,7901.590243267334,S004,9650.651309860497,5.518469288797766,0.8815307112022346,4,42.0,HARD
M023,U07,C,BAT-C-03,8178.086711252188,8568.086711252188,S008,10245.798795844363,5.401510008542074,0.9984899914579266,3,28.0,HARD
M024,U08,C,BAT-C-02,9650.651309860497,10070.651309860497,S005,11395.84646805604,3.7870462440380046,2.6129537559619957,4,42.0,HARD
M025,U06,B,BAT-B-03,5827.717430244639,6157.717430244639,S010,7263.094332690978,1.5155761936939673,1.6844238063060328,1,8.0,HARD
M026,U05,B,BAT-B-04,6956.127217528184,7286.127217528184,S012,8758.861773498267,2.2894844910593353,0.9105155089406649,1,8.0,HARD
M027,U06,B,BAT-B-02,7263.094332690978,7650.379461071087,S013,8710.84974136403,1.5155988935827986,1.6844011064172015,1,8.0,HARD
M028,U03,A,BAT-A-01,4856.552338352301,5186.552338352301,S014,6786.956872804458,2.1885050529683205,1.4114949470316795,1,8.0,HARD
M029,U02,A,BAT-A-02,5091.105832642606,5421.105832642606,S001,6282.006977907165,1.1780555951641682,2.421944404835832,1,6.0,HARD
M030,U06,B,BAT-B-01,8710.84974136403,9040.84974136403,S009,10149.29198875844,1.7424262240623476,1.4575737759376526,1,8.0,HARD
M031,U05,B,BAT-B-03,8758.861773498267,9088.861773498267,S011,9827.285423609868,0.8942561603173463,2.3057438396826537,1,8.0,HARD
M032,U07,C,BAT-C-04,10245.798795844363,10575.798795844363,S015,12080.32046498851,3.8867886032783012,2.513211396721699,1,8.0,HARD
