uav_id,sortie_id,busy_start_s,busy_end_s
U05,M001,0.0,1985.3678928172935
U01,M002,0.0,2109.0828301758197
U02,M003,0.0,2003.7375242139126
U07,M004,0.0,1969.2846571841203
U08,M005,0.0,1560.170391878965
U03,M006,0.0,1727.4353226736384
U04,M007,0.0,1654.8593983215956
U04,M008,1654.8593983215956,3266.970579986604
U06,M009,0.0,1207.276912821857
U06,M010,1207.276912821857,3442.812832681929
U03,M011,1727.4353226736384,3990.089344851174
U05,M012,1985.3678928172935,3907.0159039905348
U06,M013,3442.812832681929,5211.1014167023795
U01,M014,2109.0828301758197,4051.7784768447177
U02,M015,2003.7375242139126,4106.4723225487705
U04,M016,3266.970579986604,4488.9974989900375
U08,M017,1560.170391878965,2988.34078375793
U07,M018,1969.2846571841203,4077.0966758228283
U08,M019,2988.34078375793,4417.900309698276
U07,M020,4077.0966758228283,6513.207820159908
U08,M021,4417.900309698276,6586.96137629144
U07,M022,6513.207820159908,8222.783267996085
U08,M023,6586.96137629144,8588.673460883614
U07,M024,8222.783267996085,10240.075300203043
U05,M025,3907.0159039905348,5342.392806436874
U06,M026,5211.1014167023795,7013.835972672463
U05,M027,5342.392806436874,6750.631793332739
U03,M028,3990.089344851174,5920.49387930333
U01,M029,4051.7784768447177,5242.679622109277
U08,M030,8588.673460883614,10617.743562758082
U05,M031,6750.631793332739,8189.074040727148
U06,M032,7013.835972672463,8082.259622784064
U07,M033,10240.075300203043,12074.59696934719
