sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-B-01,360.0,1985.3678928172935,0.36632566414611856,1765.0355154800613,3750.403408297355
M002,BAT-B-02,390.0,1847.2635443623042,0.4610958274636927,1600.767232396266,3448.03077675857
M003,BAT-A-01,360.0,2109.0828301758197,0.34267568748286925,1354.52160627227,3463.6044364480895
M004,BAT-A-02,360.0,2003.7375242139126,0.3511264120181994,1343.5356643763407,3347.273188590253
M005,BAT-C-01,360.0,1969.2846571841203,0.5444584484750425,1820.3400283040746,3789.6246854881947
M006,BAT-A-03,360.0,1727.4353226736384,0.5765975960294276,1050.423125161744,2777.8584478353823
M007,BAT-C-02,450.0,1428.170391878965,0.7197092846766863,1440.629883200513,2868.8002750794776
M008,BAT-A-04,360.0,1654.8593983215956,0.5655978254576951,1064.7228269049965,2719.582225226592
M009,BAT-A-05,2014.8593983215956,3266.970579986604,0.5649083818765711,1065.6191035604575,4332.589683547061
M010,BAT-B-03,2237.263544362304,4082.799464222376,0.2762305758360287,1921.2003352175502,6003.999799439926
M011,BAT-B-04,2375.3678928172935,4207.848674149152,0.30702574836331364,1867.8220361702563,6075.6707103194085
M012,BAT-A-06,2087.4353226736384,3990.089344851174,0.337339941623068,1361.4580758900115,5351.547420741185
M013,BAT-B-01,4442.799464222377,5851.0880482428265,0.4823108550335087,1563.9945179419183,7415.082566184745
M014,BAT-A-04,2719.582225226592,4051.7784768447177,0.5285988724357911,1112.8214658334716,5164.599942678189
M015,BAT-A-03,2777.8584478353823,4106.4723225487705,0.49893332368114396,1151.386679214513,5257.859001763283
M016,BAT-A-01,3626.970579986604,4488.9974989900375,0.7439999486838502,832.8000667109948,5321.797565701032
M017,BAT-C-03,1878.170391878965,2856.34078375793,0.6599541709125436,1570.0992963561555,4426.4400801140855
M018,BAT-C-04,2449.28465718412,4077.0966758228283,0.23679822438654818,2486.937180495812,6564.03385631864
M019,BAT-C-02,3276.34078375793,4285.900309698276,0.709024318036301,1463.7806442546812,5749.680953952957
M020,BAT-C-01,4557.096675822828,6513.207820159908,0.2313121578433852,2498.823658005999,9012.031478165907
M021,BAT-C-03,4705.900309698276,6454.96137629144,0.3101913389002793,2327.9187657160614,8782.880142007501
M022,BAT-C-02,6814.96137629144,8164.536824127616,0.6233815417901765,1649.339992787951,9813.876816915566
M023,BAT-C-04,6873.207820159908,8514.919904752081,0.3383394176715302,2266.931261711685,10781.851166463766
M024,BAT-C-03,8782.880142007501,10108.075300203043,0.5266192194952495,1858.991691093626,11967.06699129667
M025,BAT-B-02,4537.848674149152,5643.2255765954915,0.6211059515765082,1323.4163506007192,6966.64192719621
M026,BAT-B-03,6003.999799439926,7476.73435541001,0.4276288772351662,1658.7766127923783,9135.510968202389
M027,BAT-B-04,6181.0880482428265,7241.558328535772,0.6211002766043003,1323.4261872192128,8564.984515754984
M028,BAT-A-02,4320.089344851174,5920.49387930333,0.5136655437848177,1132.2347930797368,7052.728672383067
M029,BAT-A-05,4381.778476844718,5242.679622109277,0.7382098677412959,840.3271719363153,6083.006794045593
M030,BAT-C-01,9012.031478165907,10617.743562758082,0.36288048929695926,2213.7589398565883,12831.50250261467
M031,BAT-B-01,7571.558328535772,8680.00057593018,0.5643934439844132,1421.7180304270173,10101.718606357197
M032,BAT-B-02,7806.73435541001,8545.15800552161,0.7764359599206634,1054.17766947085,9599.33567499246
M033,BAT-C-02,10438.075300203043,11942.59696934719,0.5141514245902123,1886.0052467212067,13828.602216068397
