node_id,time,x,y,z,mode,task_id,relay_id,phase_role
U05,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M001,,start
U05,360.0,318686.2012849663,2545556.1393078705,127.7,climb,M001,,start
U05,360.0,318686.2012849663,2545556.1393078705,127.7,prep,M001,,end
U05,360.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M001,,instant
U05,488.0910583496094,318686.2012849663,2545556.1393078705,511.9731750488281,climb,M001,,end
U05,488.0910583496094,318686.2012849663,2545556.1393078705,511.9731750488281,cruise,M001,,start
U05,790.3929247237522,314816.04690611176,2547919.1562834387,511.9731750488281,cruise,M001,,end
U05,790.3929247237522,314816.04690611176,2547919.1562834387,511.9731750488281,descent,M001,,start
U05,855.7821947432835,314816.04690611176,2547919.1562834387,348.5,descent,M001,,end
U05,855.7821947432835,314816.04690611176,2547919.1562834387,348.5,handover_start,M001,,start
U05,1035.7821947432835,314816.04690611176,2547919.1562834387,348.5,climb,M001,,start
U05,1035.7821947432835,314816.04690611176,2547919.1562834387,348.5,handover_end,M001,,end
U05,1066.0073127445855,314816.04690611176,2547919.1562834387,439.17535400390625,climb,M001,,end
U05,1066.0073127445855,314816.04690611176,2547919.1562834387,439.17535400390625,cruise,M001,,start
U05,1411.8703236274857,319988.599872737,2548318.494265952,439.17535400390625,cruise,M001,,end
U05,1411.8703236274857,319988.599872737,2548318.494265952,439.17535400390625,descent,M001,,start
U05,1513.9404652290482,319988.599872737,2548318.494265952,184.0,descent,M001,,end
U05,1513.9404652290482,319988.599872737,2548318.494265952,184.0,handover_start,M001,,start
U05,1693.9404652290482,319988.599872737,2548318.494265952,184.0,climb,M001,,start
U05,1693.9404652290482,319988.599872737,2548318.494265952,184.0,handover_end,M001,,end
U05,1723.626001931522,319988.599872737,2548318.494265952,273.0566101074219,climb,M001,,end
U05,1723.626001931522,319988.599872737,2548318.494265952,273.0566101074219,cruise,M001,,start
U05,1927.2252487743249,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M001,,end
U05,1927.2252487743249,318686.2012849663,2545556.1393078705,273.0566101074219,descent,M001,,start
U05,1985.3678928172935,318686.2012849663,2545556.1393078705,127.7,descent,M001,,end
U05,1985.3678928172935,318686.2012849663,2545556.1393078705,127.7,return,M001,,instant
U01,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M002,,start
U01,360.0,318686.2012849663,2545556.1393078705,127.7,climb,M002,,start
U01,360.0,318686.2012849663,2545556.1393078705,127.7,prep,M002,,end
U01,360.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M002,,instant
U01,455.20033162434896,318686.2012849663,2545556.1393078705,413.3009948730469,climb,M002,,end
U01,455.20033162434896,318686.2012849663,2545556.1393078705,413.3009948730469,cruise,M002,,start
U01,1071.071017138691,324105.4192386115,2550581.156895364,413.3009948730469,cruise,M002,,end
U01,1071.071017138691,324105.4192386115,2550581.156895364,413.3009948730469,descent,M002,,start
U01,1124.47141508791,324105.4192386115,2550581.156895364,279.8,descent,M002,,end
U01,1124.47141508791,324105.4192386115,2550581.156895364,279.8,handover_start,M002,,start
U01,1334.47141508791,324105.4192386115,2550581.156895364,279.8,climb,M002,,start
U01,1334.47141508791,324105.4192386115,2550581.156895364,279.8,handover_end,M002,,end
U01,1378.971746712259,324105.4192386115,2550581.156895364,413.3009948730469,climb,M002,,end
U01,1378.971746712259,324105.4192386115,2550581.156895364,413.3009948730469,cruise,M002,,start
U01,1994.842432226601,318686.2012849663,2545556.1393078705,413.3009948730469,cruise,M002,,end
U01,1994.842432226601,318686.2012849663,2545556.1393078705,413.3009948730469,descent,M002,,start
U01,2109.0828301758197,318686.2012849663,2545556.1393078705,127.7,descent,M002,,end
U01,2109.0828301758197,318686.2012849663,2545556.1393078705,127.7,return,M002,,instant
U02,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M003,,start
U02,360.0,318686.2012849663,2545556.1393078705,127.7,climb,M003,,start
U02,360.0,318686.2012849663,2545556.1393078705,127.7,prep,M003,,end
U02,360.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M003,,instant
U02,420.4180847167969,318686.2012849663,2545556.1393078705,308.9542541503906,climb,M003,,end
U02,420.4180847167969,318686.2012849663,2545556.1393078705,308.9542541503906,cruise,M003,,start
U02,1038.0270604468,321607.1664922811,2552367.559439648,308.9542541503906,cruise,M003,,end
U02,1038.0270604468,321607.1664922811,2552367.559439648,308.9542541503906,descent,M003,,start
U02,1073.8087621069562,321607.1664922811,2552367.559439648,219.5,descent,M003,,end
U02,1073.8087621069562,321607.1664922811,2552367.559439648,219.5,handover_start,M003,,start
U02,1283.8087621069562,321607.1664922811,2552367.559439648,219.5,climb,M003,,start
U02,1283.8087621069562,321607.1664922811,2552367.559439648,219.5,handover_end,M003,,end
U02,1313.626846823753,321607.1664922811,2552367.559439648,308.9542541503906,climb,M003,,end
U02,1313.626846823753,321607.1664922811,2552367.559439648,308.9542541503906,cruise,M003,,start
U02,1931.2358225537564,318686.2012849663,2545556.1393078705,308.9542541503906,cruise,M003,,end
U02,1931.2358225537564,318686.2012849663,2545556.1393078705,308.9542541503906,descent,M003,,start
U02,2003.7375242139126,318686.2012849663,2545556.1393078705,127.7,descent,M003,,end
U02,2003.7375242139126,318686.2012849663,2545556.1393078705,127.7,return,M003,,instant
U07,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M004,,start
U07,360.0,318686.2012849663,2545556.1393078705,127.7,climb,M004,,start
U07,360.0,318686.2012849663,2545556.1393078705,127.7,prep,M004,,end
U07,360.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M004,,instant
U07,545.698955078125,318686.2012849663,2545556.1393078705,591.9473876953125,climb,M004,,end
U07,545.698955078125,318686.2012849663,2545556.1393078705,591.9473876953125,cruise,M004,,start
U07,907.0036347444039,324088.70956645417,2545126.43549485,591.9473876953125,cruise,M004,,end
U07,907.0036347444039,324088.70956645417,2545126.43549485,591.9473876953125,descent,M004,,start
U07,1027.47732859206,324088.70956645417,2545126.43549485,351.0,descent,M004,,end
U07,1027.47732859206,324088.70956645417,2545126.43549485,351.0,handover_start,M004,,start
U07,1279.47732859206,324088.70956645417,2545126.43549485,351.0,climb,M004,,start
U07,1279.47732859206,324088.70956645417,2545126.43549485,351.0,handover_end,M004,,end
U07,1375.8562836701851,324088.70956645417,2545126.43549485,591.9473876953125,climb,M004,,end
U07,1375.8562836701851,324088.70956645417,2545126.43549485,591.9473876953125,cruise,M004,,start
U07,1737.1609633364642,318686.2012849663,2545556.1393078705,591.9473876953125,cruise,M004,,end
U07,1737.1609633364642,318686.2012849663,2545556.1393078705,591.9473876953125,descent,M004,,start
U07,1969.2846571841205,318686.2012849663,2545556.1393078705,127.7,descent,M004,,end
U07,1969.2846571841205,318686.2012849663,2545556.1393078705,127.7,return,M004,,instant
U03,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M005,,start
U03,360.0,318686.2012849663,2545556.1393078705,127.7,climb,M005,,start
U03,360.0,318686.2012849663,2545556.1393078705,127.7,prep,M005,,end
U03,360.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M005,,instant
U03,488.0910583496094,318686.2012849663,2545556.1393078705,511.9731750488281,climb,M005,,end
U03,488.0910583496094,318686.2012849663,2545556.1393078705,511.9731750488281,cruise,M005,,start
U03,865.968391317288,314816.04690611176,2547919.1562834387,511.9731750488281,cruise,M005,,end
U03,865.968391317288,314816.04690611176,2547919.1562834387,511.9731750488281,descent,M005,,start
U03,931.3576613368193,314816.04690611176,2547919.1562834387,348.5,descent,M005,,end
U03,931.3576613368193,314816.04690611176,2547919.1562834387,348.5,handover_start,M005,,start
U03,1141.3576613368193,314816.04690611176,2547919.1562834387,348.5,climb,M005,,start
U03,1141.3576613368193,314816.04690611176,2547919.1562834387,348.5,handover_end,M005,,end
U03,1195.8487196864287,314816.04690611176,2547919.1562834387,511.9731750488281,climb,M005,,end
U03,1195.8487196864287,314816.04690611176,2547919.1562834387,511.9731750488281,cruise,M005,,start
U03,1573.7260526541072,318686.2012849663,2545556.1393078705,511.9731750488281,cruise,M005,,end
U03,1573.7260526541072,318686.2012849663,2545556.1393078705,511.9731750488281,descent,M005,,start
U03,1727.4353226736384,318686.2012849663,2545556.1393078705,127.7,descent,M005,,end
