uav_id,sortie_id,busy_start_s,busy_end_s
U03,M001,3628.807457783855,5747.613110788493
U02,M002,4364.984820676556,6483.790473681194
U01,M003,5352.8926782429135,7471.698331247551
U01,M004,3015.7949262853263,5352.892668242914
U03,M005,5967.729913025039,7599.926164643165
U07,M006,4105.4561643923535,6541.5673087294335
U04,M007,2111.1461387911622,3663.257320456171
U06,M008,3106.761663578947,4856.513858197963
U07,M009,1560.1704018789649,4105.456154392354
U05,M010,0.0,1802.734555970083
U05,M011,3559.4285098919945,5401.270817059039
U04,M012,0.0,2111.146128791162
U08,M013,6701.844096059756,9021.865078637893
U08,M014,1626.1704018789649,4259.256836983329
U05,M015,1802.734565970083,3559.4284998919948
U06,M016,4856.513868197963,6877.056966473846
U02,M017,0.0,2003.7375242139126
U04,M018,3663.257330456171,5258.116728777766
U01,M019,7471.698341247551,9590.503994252189
U02,M020,2003.7375342139126,4052.8203643897323
U05,M021,5401.270827059038,6548.547739880895
U03,M022,0.0,1313.485266596983
U08,M023,0.0,1626.170391878965
U03,M024,1313.4852765969829,3628.8074477838545
U08,M025,4259.2568469833295,6701.844086059757
U06,M026,0.0,1435.376902446339
U01,M027,1253.4852765969829,2805.5964582619918
U07,M028,6541.567318729434,8894.067754823936
U04,M029,5258.116738777767,7369.262867568928
U07,M030,0.0,1560.170391878965
U01,M031,0.0,1253.485266596983
U06,M032,1435.376912446339,2642.6538252681958
