sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-B-02,4285.024135936658,5846.6721471099,0.2411691784158405,1981.9734240792097,7828.645571189109
M002,BAT-A-02,3899.060299418269,5680.206428209431,0.30078634766869505,1408.9777480306964,7089.184176240127
M003,BAT-A-03,330.0,1930.4045344521558,0.4996354308004173,1150.4739399594575,3080.8784744116133
M004,BAT-A-05,4817.467563096952,6598.613691888115,0.3299080932402155,1371.11947878772,7969.733170675835
M005,BAT-A-03,5867.764821736642,7199.961073354768,0.5126740814551964,1133.5236941082449,8333.484767463013
M006,BAT-A-01,6855.60570330359,7687.632622307024,0.7483355382623942,827.1638002588876,8514.79642256591
M007,BAT-A-04,360.0,2255.322171186872,0.4712443962711761,1187.382284847471,3442.704456034343
M008,BAT-B-04,2176.6939439219113,3923.207949268467,0.3858691777445967,1731.1600919093657,5654.368041177833
M009,BAT-B-03,1567.276922821857,2414.5538356437137,0.6766156577666717,1227.199526537769,3641.7533621814828
M010,BAT-B-01,2804.553845643714,3925.0241259366585,0.5438204341741839,1457.3779140980812,5382.40204003474
M011,BAT-A-01,360.0,2109.0828301758197,0.3203568490134049,1383.5360962825737,3492.6189264583936
M012,BAT-C-01,510.0,1560.170391878965,0.6255321544315746,1644.6803320649215,3204.8507239438864
M013,BAT-A-06,2260.4045444521557,3525.2639427737513,0.57304103759146,1055.046651131102,4580.310593904853
M014,BAT-C-03,2010.1704018789649,3973.4561543923537,0.41491547029053244,2101.0164810371793,6074.472635429533
M015,BAT-A-05,2439.08284017582,3776.5181628494583,0.5838850844250048,1040.9493902474937,4817.4675530969525
M016,BAT-B-03,4313.207959268468,6003.75105754435,0.30502477739266864,1871.2903858527077,7875.041443397058
M017,BAT-B-02,390.0,1816.6939339219116,0.3216518213304336,1842.470176360582,3659.1641102824933
M018,BAT-C-01,9004.783003347395,9821.027238582694,0.7731922538669684,1324.7501166215684,11145.777355204262
M019,BAT-B-04,7323.949079931756,8855.597091104997,0.4093490099534236,1690.4617160807325,10546.05880718573
M020,BAT-B-01,6176.6721571099,6993.949069931757,0.7456590332358777,1107.5243423911454,8101.473412322902
M021,BAT-B-01,360.0,1207.276912821857,0.7253090653907963,1142.7976199892864,2350.0745328111434
M022,BAT-C-02,4363.4561643923535,6350.0434034687805,0.3145812912986601,2318.4072021862366,8668.450605655016
M023,BAT-A-03,3080.8784844116135,4345.737882733209,0.5849129428867129,1039.6131742472733,5385.351056980482
M024,BAT-C-03,6799.031029681697,7981.599581193945,0.5434794698044971,1822.4611487569227,9804.060729950867
M025,BAT-C-04,6680.04341346878,7993.618861304956,0.6300420549444488,1634.9088809536943,9628.527742258651
M026,BAT-C-04,2076.170401878965,3667.982420517673,0.28485187289610714,2382.820942058435,6050.803362576107
M027,BAT-A-04,8747.761856770845,10046.375731484233,0.5204392780398976,1123.4289385481331,11169.804670032367
M028,BAT-B-01,9185.597101104999,10717.24511227824,0.4025393139459279,1702.2651891603919,12419.510301438633
M029,BAT-A-06,4675.737892733209,5507.7648117366425,0.7592199014474125,813.0141281183638,6320.778939855007
M030,BAT-A-02,390.0,2475.895260153948,0.2898730544120611,1423.1650292643208,3899.060289418269
M031,BAT-C-01,4147.9824305176735,6469.031019681696,0.21426831984660055,2535.751973665699,9004.782993347395
M032,BAT-A-04,6015.122519238953,7615.527053691108,0.5136655437848177,1132.2347930797368,8747.761846770845
M033,BAT-B-02,7828.64558118911,9340.487888356154,0.381620924407152,1738.5237310276032,11079.011619383757
M034,BAT-C-02,540.0,1626.170391878965,0.6353055079653442,1623.5047327417542,3249.675124620719
M035,BAT-A-01,4106.518172849458,5685.122509238953,0.48424370456566423,1170.4831840646366,6855.60569330359
M036,BAT-A-06,6928.6137018881145,8230.80995350624,0.5364579264322897,1102.6046956380233,9333.414649144263
M037,BAT-A-02,7945.527063691108,9247.723315309235,0.5364579264322897,1102.6046956380233,10350.328010947258
