sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U05,B,BAT-B-03,1207.276922821857,1537.276922821857,S013,2597.747203114802,1.5879385934227352,1.612061406577265,1,14.0,P0010
M002,U01,A,BAT-A-03,3671.172866887551,4031.172866887551,S004,5849.978519892189,3.191085884797113,0.408914115202887,2,22.0,P0010
M003,U05,B,BAT-B-04,5195.494426229603,5555.494426229603,S008,7097.336733396647,2.763432587771086,0.43656741222891426,2,20.0,P0010
M004,U02,A,BAT-A-05,6097.835859645973,6427.835859645973,S015,8006.440196035468,2.429272002609023,1.1707279973909772,1,14.0,P0010
M005,U04,A,BAT-A-06,1594.8594083215955,1924.8594083215955,S014,3525.2639427737513,2.2516405613981223,1.3483594386018778,1,14.0,P0010
M006,U01,A,BAT-A-02,5849.978529892189,6179.978529892189,S011,7012.005448895622,1.132490077819226,2.467509922180774,1,14.0,P0010
M007,U05,B,BAT-B-03,7097.336743396647,7427.336743396647,S003,9057.87984167253,2.315125167551115,0.8848748324488853,1,8.0,P0010
M008,U07,C,BAT-C-03,1975.8120286387082,2485.8120286387084,S001,3535.982420517673,2.995742764547403,3.4042572354525973,7,78.0,P0010
M009,U06,B,BAT-B-04,1756.6939439219116,2146.6939439219113,S012,3679.4284998919948,2.75235444190214,0.44764555809786,3,25.0,P0010
M010,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.2935373689333134,1.9064626310666868,2,28.0,P0010
M011,U07,C,BAT-C-03,6166.084046417849,6496.084046417849,S006,7397.643572358196,2.0537589040916386,4.346241095908361,1,6.0,P0010
M012,U01,A,BAT-A-01,0.0,330.0,S007,1667.4353226736384,1.7886996541595774,1.8113003458404227,1,3.0,P0010
M013,U07,C,BAT-C-02,3657.4967973414227,4107.496797341422,S005>S008,6166.084036417849,5.734595613427342,0.665404386572658,5,42.0,P0010
M014,U08,C,BAT-C-04,2090.6518131496223,2480.6518131496223,S007>S003,4520.263959874978,4.851819809789085,1.5481801902109158,3,26.0,P0010
M015,U06,B,BAT-B-02,3679.4285098919945,4069.4285098919945,S003,5759.971608167877,2.7799008904293254,0.42009910957067476,3,25.0,P0010
M016,U08,C,BAT-C-02,0.0,570.0,S011>S001,2090.651803149622,4.369889172400495,2.030110827599505,9,79.0,P0010
M017,U04,A,BAT-A-01,4733.209027548848,5063.209027548848,S004,6852.014680553486,2.9086713666491266,0.6913286333508735,1,3.0,P0010
M018,U02,A,BAT-A-01,2324.1707883197387,2684.1707883197387,S010,3979.0301866413342,2.022157491602933,1.577842508397067,2,22.0,P0010
M019,U07,C,BAT-C-02,8222.53702505442,8552.53702505442,S011,9368.78126028972,1.814461969064252,4.585538030935748,1,8.0,P0010
M020,U05,B,BAT-B-01,2597.7472131148015,2957.7472131148015,S006,3805.0241259366585,1.0987637384368147,2.1012362615631854,2,17.0,P0010
M021,U04,A,BAT-A-06,6852.014690553486,7212.014690553486,S005,8544.210942171612,2.192966633451616,1.4070333665483843,2,22.0,P0010
M022,U08,C,BAT-C-01,4520.263969874979,4910.263969874979,S003,6758.375114212059,5.288266757738672,1.1117332422613284,3,42.0,P0010
M023,U03,A,BAT-A-03,0.0,390.0,S013>S014,2405.2715411087756,2.7317852921438357,0.8682147078561644,3,14.0,P0010
M024,U08,C,BAT-C-04,6758.37512421206,7088.37512421206,S009,8270.943675724307,3.6521642415640225,2.747835758435978,1,14.0,P0010
M025,U06,B,BAT-B-02,7681.619639341119,8011.619639341119,S015,9389.90822336157,1.9174196616212544,1.2825803383787457,1,8.0,P0010
M026,U05,B,BAT-B-03,3805.0241359366582,4135.024135936658,S013,5195.494416229603,1.5155988935827986,1.6844011064172015,1,8.0,P0010
M027,U06,B,BAT-B-02,0.0,360.0,S002,1756.6939339219116,2.43260791577573,0.7673920842242703,2,17.0,P0010
M028,U02,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,P0010
M029,U06,B,BAT-B-01,5759.971618167878,6119.971618167878,S004,7681.619629341119,2.6683352998765297,0.5316647001234704,2,20.0,P0010
M030,U01,A,BAT-A-01,7862.297529807678,8192.297529807678,S005,9494.493781425805,2.015861062621002,1.5841389373789982,1,6.0,P0010
M031,U02,A,BAT-A-04,3979.0301966413344,4309.030196641334,S004,6097.835849645972,3.035323122468884,0.5646768775311162,1,14.0,P0010
M032,U07,C,BAT-C-01,0.0,420.0,S002,1975.8120186387082,5.248613995709657,1.1513860042903437,4,42.0,P0010
M033,U04,A,BAT-A-04,0.0,330.0,S010,1594.8593983215956,1.8369362591569196,1.7630637408430805,1,3.0,P0010
M034,U02,A,BAT-A-03,8006.440206035468,8366.440206035468,S009,9695.054080748856,2.184987159932618,1.4150128400673823,2,11.0,P0010
M035,U01,A,BAT-A-05,1667.4353326736384,2027.4353326736384,S002,3671.172856887551,3.0186602033241243,0.5813397966758758,2,22.0,P0010
M036,U03,A,BAT-A-04,7144.706983914761,7474.706983914761,S005,8776.903235532885,2.085939331054696,1.5140606689453042,1,14.0,P0010
M037,U03,A,BAT-A-06,4375.407493401927,4705.407493401927,S006,5628.89275999891,1.2525327364432264,2.3474672635567737,1,8.0,P0010
M038,U03,A,BAT-A-02,2466.803147012432,2796.803147012432,S015,4375.407483401927,2.3209033294545107,1.2790966705454894,1,3.0,P0010
