uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2536.7090851904422
U05,M002,0.0,1985.3678928172935
U02,M003,0.0,2129.1400323053044
U06,M004,0.0,2032.4328321479334
U03,M005,0.0,2109.0828301758197
U07,M006,0.0,1969.2846571841203
U08,M007,0.0,1428.170391878965
U04,M008,0.0,1612.1111816650089
U05,M009,1985.3678928172935,3132.6448056391505
U04,M010,1612.1111816650089,3874.765203842544
U06,M011,2032.4328321479334,3954.080843321175
U05,M012,3132.6448056391505,5292.245715464399
U06,M013,3954.080843321175,5722.369427341625
U03,M014,2109.0828301758197,3801.2790817939454
U02,M015,2129.1400323053044,4006.3441599388543
U01,M016,2536.7090851904422,4129.339661895525
U08,M017,1428.170391878965,2856.34078375793
U07,M018,1969.2846571841203,4077.0966758228283
U08,M019,2856.34078375793,4285.900309698276
U07,M020,4077.0966758228283,6513.207820159908
U08,M021,4285.900309698276,6454.96137629144
U03,M022,3801.2790817939454,6248.816040095664
U08,M023,6454.96137629144,8164.536824127616
U07,M024,6513.207820159908,8514.919904752081
U08,M025,8164.536824127616,10108.075300203043
U05,M026,5292.245715464399,6727.622617910738
U06,M027,5722.369427341625,7112.83970763457
U04,M028,3874.765203842544,5065.666349107103
U01,M029,4129.339661895525,5775.001692891976
U07,M030,8514.919904752081,10617.743562758082
U05,M031,6727.622617910738,8223.349993685255
U06,M032,7112.83970763457,8181.263357746171
U08,M033,10108.075300203043,11942.59696934719
