box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S010-WAT-01,M001,S010,1986.8160526963113,3600.0,3600.0,3600.0,True,0.5518933479711976,P0009
S010-MED-01,M001,S010,1986.8160526963113,3600.0,3600.0,3600.0,True,0.5518933479711976,P0009
S012-MED-01,M001,S012,1334.47141508791,7200.0,3600.0,3600.0,True,0.18534325209554303,P0009
S001-WAT-01,M002,S001,1693.9404652290482,3600.0,3600.0,3600.0,True,0.47053901811918003,P0009
S007-WAT-02,M002,S007,1035.7821947432835,3600.0,,,True,0.28771727631757876,P0009
S007-WAT-01,M003,S007,1543.062370968485,3600.0,3600.0,3600.0,True,0.42862843638013476,P0009
S007-MED-01,M003,S007,1543.062370968485,3600.0,3600.0,3600.0,True,0.42862843638013476,P0009
S006-MED-01,M003,S006,935.5059666318248,3600.0,3600.0,3600.0,True,0.2598627685088402,P0009
S002-WAT-01,M004,S002,1436.0258651869776,3600.0,3600.0,3600.0,True,0.39889607366304936,P0009
S002-MED-01,M004,S002,1436.0258651869776,3600.0,3600.0,3600.0,True,0.39889607366304936,P0009
S001-MED-02,M004,S001,857.674094254912,3600.0,,3600.0,True,0.23824280395969777,P0009
S012-FOD-01,M005,S012,1334.47141508791,7200.0,,,True,0.18534325209554303,P0009
S012-WAT-01,M005,S012,1334.47141508791,3600.0,3600.0,3600.0,True,0.37068650419108606,P0009
S014-WAT-01,M006,S014,1272.7589338927446,3600.0,3600.0,3600.0,True,0.3535441483035402,P0009
S014-MED-01,M006,S014,1272.7589338927446,7200.0,3600.0,3600.0,True,0.1767720741517701,P0009
S001-WAT-07,M007,S001,1116.2701959394824,3600.0,,,True,0.310075054427634,P0009
S001-WAT-08,M007,S001,1116.2701959394824,3600.0,,,True,0.310075054427634,P0009
S001-FOD-03,M007,S001,1116.2701959394824,7200.0,,,True,0.155037527213817,P0009
S001-HYG-01,M007,S001,1116.2701959394824,10800.0,,,True,0.103358351475878,P0009
