sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,390.0,S012>S010,2536.7090851904422,3.3978168283045433,0.20218317169545674,3,20.0,P0009
M002,U05,B,BAT-B-01,0.0,360.0,S007>S001,1985.3678928172935,2.5346973434155258,0.6653026565844744,2,28.0,P0009
M003,U02,A,BAT-A-02,0.0,390.0,S006>S007,2129.1400323053044,2.209059382800416,1.390940617199584,3,20.0,P0009
M004,U06,B,BAT-B-02,0.0,390.0,S001>S002,2032.4328321479334,2.497690373339503,0.7023096266604973,3,20.0,P0009
M005,U03,A,BAT-A-03,0.0,360.0,S012,2109.0828301758197,3.058394179439678,0.541605820560322,2,22.0,P0009
M006,U04,A,BAT-A-04,0.0,360.0,S014,1990.4045344521558,2.2908913204553736,1.3091086795446265,2,17.0,P0009
M007,U07,C,BAT-C-01,0.0,450.0,S001,1428.170391878965,2.24232572258651,4.1576742774134905,5,45.0,P0009
M008,U04,A,BAT-A-05,1990.4045344521558,2350.4045344521555,S013,3602.5157161171646,1.95791228155543,1.6420877184445701,2,17.0,P0009
M009,U05,B,BAT-B-03,1985.3678928172935,2315.3678928172935,S006,3132.6448056391505,1.0662580721233486,2.1337419278766516,1,14.0,P0009
M010,U06,B,BAT-B-04,2032.4328321479334,2422.4328321479334,S008>S004,4428.923739118466,3.136123662255278,0.06387633774472201,3,20.0,P0009
M011,U05,B,BAT-B-01,3132.6448056391505,3750.403408297355,S009>S004,5519.902480920476,2.8359150763033565,0.3640849236966437,2,22.0,P0009
M012,U03,A,BAT-A-06,2109.0828301758197,2469.0828301758197,S003,4371.736852353355,2.981970262696194,0.618029737303806,2,17.0,P0009
M013,U06,B,BAT-B-02,4428.923739118466,4788.923739118466,S015,6197.212323138916,2.0707565798659653,1.129243420134035,2,17.0,P0009
M014,U01,A,BAT-A-04,2536.7090851904422,3152.217582583708,S005,4484.413834201834,2.1213050740389403,1.4786949259610598,2,17.0,P0009
M015,U02,A,BAT-A-02,2129.1400323053044,3267.3127428920916,S009,4595.92661760548,2.254800043434852,1.345199956565148,2,17.0,P0009
M016,U04,A,BAT-A-03,3602.5157161171646,3962.5157161171646,S011,4824.542635120598,1.1520002309226742,2.4479997690773256,2,17.0,P0009
M017,U08,C,BAT-C-02,0.0,450.0,S001,1428.170391878965,2.720366632699651,3.679633367300349,5,70.0,P0009
M018,U07,C,BAT-C-03,1428.170391878965,1908.170391878965,S002,3535.982410517673,6.1056142049076145,0.2943857950923858,6,64.0,P0009
M019,U08,C,BAT-C-04,1428.170391878965,1848.170391878965,S006,2857.7299178193116,2.327805455709593,4.072194544290408,4,42.0,P0009
M020,U08,C,BAT-C-01,2857.7299178193116,3337.7299178193116,S003,5293.841062156392,6.149502737252918,0.25049726274708206,6,64.0,P0009
M021,U07,C,BAT-C-02,3535.982410517673,3955.982410517673,S004,5705.043477110836,5.518469288797766,0.8815307112022346,4,42.0,P0009
M022,U03,A,BAT-A-01,4371.736852353355,4731.736852353355,S001>S014,6819.273810655073,2.792284711663455,0.8077152883365453,2,16.0,P0009
M023,U08,C,BAT-C-04,5293.841062156392,5653.841062156392,S007,7003.4165099925685,3.012947665678588,3.3870523343214125,2,14.0,P0009
M024,U07,C,BAT-C-03,5705.043477110836,6065.043477110836,S008,7706.75556170301,5.293284658627758,1.106715341372242,2,22.0,P0009
M025,U08,C,BAT-C-01,7003.4165099925685,7792.664720162391,S005,9117.859878357933,3.7870462440380046,2.6129537559619957,4,42.0,P0009
M026,U05,B,BAT-B-03,5519.902480920476,5849.902480920476,S010,6955.279383366815,1.5155761936939673,1.6844238063060328,1,8.0,P0009
M027,U06,B,BAT-B-04,6197.212323138916,6527.212323138916,S013,7587.68260343186,1.5155988935827986,1.6844011064172015,1,8.0,P0009
M028,U01,A,BAT-A-05,4484.413834201834,4814.413834201834,S001,5675.314979466393,1.186567030623315,2.413432969376685,1,8.0,P0009
M029,U02,A,BAT-A-04,4595.92661760548,5597.235300035306,S001,6458.136445299865,1.1780555951641682,2.421944404835832,1,6.0,P0009
M030,U07,C,BAT-C-02,7706.75556170301,8036.75556170301,S008,9642.467646295185,5.096956085624326,1.3030439143756745,1,6.0,P0009
M031,U05,B,BAT-B-01,6955.279383366815,7415.465680651931,S011,8153.889330763532,0.8942561603173463,2.3057438396826537,1,8.0,P0009
M032,U06,B,BAT-B-02,7587.68260343186,7917.68260343186,S015,9295.971187452311,1.9174196616212544,1.2825803383787457,1,8.0,P0009
