sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U05,B,BAT-B-01,0.0,390.0,S009>S002>S012,2552.487655652715,3.179537082734412,0.020462917265588132,3,25.0,P0010
M002,U01,A,BAT-A-01,0.0,390.0,S013>S002,2463.446024208815,3.227829020840616,0.3721709791593839,3,14.0,P0010
M003,U02,A,BAT-A-02,0.0,360.0,S012,2109.0828301758197,3.058394179439678,0.541605820560322,2,22.0,P0010
M004,U07,C,BAT-C-01,0.0,360.0,S014,1969.2846571841203,3.6443324121996596,2.7556675878003407,2,17.0,P0010
M005,U03,A,BAT-A-03,0.0,360.0,S007,1727.4353226736384,1.905310817867576,1.6946891821324241,2,17.0,P0010
M006,U04,A,BAT-A-04,0.0,360.0,S010,1654.8593983215956,1.954809785440372,1.645190214559628,2,17.0,P0010
M007,U06,B,BAT-B-02,0.0,360.0,S013>S010,1826.6088052524603,1.9927588074894043,1.207241192510596,2,22.0,P0010
M008,U06,B,BAT-B-03,1826.6088052524603,2216.60880525246,S001,3035.7103270956177,1.073960767623688,2.1260392323763124,3,20.0,P0010
M009,U05,B,BAT-B-04,2552.487655652715,2912.487655652715,S006,3759.764568474572,1.0987637384368147,2.1012362615631854,2,17.0,P0010
M010,U04,A,BAT-A-05,1654.8593983215956,2014.8593983215956,S003,3917.513420499131,2.981970262696194,0.618029737303806,2,17.0,P0010
M011,U06,B,BAT-B-02,3035.7103270956177,3395.7103270956177,S004,4957.358338268859,2.576489867036754,0.6235101329632462,2,17.0,P0010
M012,U05,B,BAT-B-03,3759.764568474572,4167.759993065883,S008,5709.602300232927,2.6676816095994944,0.5323183904005058,2,17.0,P0010
M013,U06,B,BAT-B-01,4957.358338268859,5317.358338268859,S015,6725.646922289309,2.0707565798659653,1.129243420134035,2,17.0,P0010
M014,U03,A,BAT-A-06,1727.4353226736384,2087.4353226736384,S005,3419.631574291764,2.1213050740389403,1.4786949259610598,2,17.0,P0010
M015,U02,A,BAT-A-04,2109.0828301758197,2719.582225226592,S009,4048.1960999399807,2.254800043434852,1.345199956565148,2,17.0,P0010
M016,U01,A,BAT-A-03,2463.446024208815,2823.446024208815,S011,3685.472943212248,1.1520002309226742,2.4479997690773256,2,17.0,P0010
M017,U08,C,BAT-C-02,0.0,450.0,S001,1428.170391878965,2.720366632699651,3.679633367300349,5,70.0,P0010
M018,U08,C,BAT-C-03,1428.170391878965,1908.170391878965,S002,3535.982410517673,6.1056142049076145,0.2943857950923858,6,64.0,P0010
M019,U07,C,BAT-C-04,1969.2846571841203,2389.28465718412,S006,3398.844183124467,2.327805455709593,4.072194544290408,4,42.0,P0010
M020,U07,C,BAT-C-01,3398.844183124467,3818.844183124467,S001>S007,5682.212932468454,4.5728768554932895,1.8271231445067109,4,42.0,P0010
M021,U08,C,BAT-C-02,3535.982410517673,3955.982410517673,S001,4898.152802396638,2.143556962686548,4.256443037313453,4,36.0,P0010
M022,U08,C,BAT-C-04,4898.152802396638,5378.152802396638,S003,7334.2639467337185,6.149502737252918,0.25049726274708206,6,64.0,P0010
M023,U07,C,BAT-C-03,5682.212932468454,6102.212932468454,S004,7851.273999061617,5.518469288797766,0.8815307112022346,4,42.0,P0010
M024,U08,C,BAT-C-02,7334.2639467337185,7724.2639467337185,S008,9401.976031325892,5.401510008542074,0.9984899914579266,3,28.0,P0010
M025,U07,C,BAT-C-01,7851.273999061617,8271.273999061617,S005,9596.46915725716,3.7870462440380046,2.6129537559619957,4,42.0,P0010
M026,U05,B,BAT-B-04,5709.602300232927,6039.602300232927,S001,6798.703822076084,0.9619783704142448,2.2380216295857553,1,8.0,P0010
M027,U03,A,BAT-A-02,3419.631574291764,3749.631574291764,S014,5350.03610874392,2.1885050529683205,1.4114949470316795,1,8.0,P0010
M028,U01,A,BAT-A-01,3685.472943212248,4015.472943212248,S001,4876.374088476807,1.1780555951641682,2.421944404835832,1,6.0,P0010
M029,U06,B,BAT-B-02,6725.646922289309,7055.646922289309,S011,7794.070572400909,0.8942561603173463,2.3057438396826537,1,8.0,P0010
M030,U05,B,BAT-B-03,6798.703822076084,7532.264331059374,S015,8910.552915079825,1.9174196616212544,1.2825803383787457,1,8.0,P0010
