uav_id,sortie_id,busy_start_s,busy_end_s
U05,M001,0.0,1435.376902446339
U07,M002,5976.3331087915685,7523.52826698711
U01,M003,2908.3446849185784,5087.150337923216
U02,M004,5107.95991754393,7016.564253933425
U03,M005,2255.3221811868725,4185.726715639028
U03,M006,6154.331072028523,7316.357991031956
U06,M007,6906.161996192893,8866.705094468776
U07,M008,0.0,1560.170391878965
U05,M009,1435.376912446339,3358.111468416422
U05,M010,8560.044074151116,9628.467724262717
U08,M011,6304.574996125411,8459.075432219914
U06,M012,5044.513975019651,6906.161986192893
U05,M013,5259.953795583466,7121.601806756707
U03,M014,0.0,2255.3221711868723
U02,M015,8135.289167857316,10337.943190034852
U07,M016,3467.7458597151413,5976.333098791568
U01,M017,1313.4852765969829,2908.3446749185787
U01,M018,0.0,1313.485266596983
U06,M019,2963.9708667437685,5044.513965019651
U02,M020,3555.848725878921,5107.959907543929
U08,M021,0.0,2090.651803149622
U07,M022,8061.305396330028,10032.366462923192
U04,M023,5006.200665598486,7125.006318603124
U06,M024,1756.6939439219116,2963.9708567437683
U08,M025,4066.4638417883307,6304.574986125411
U05,M026,3358.111478416422,5259.953785583466
U04,M027,0.0,1253.485266596983
U04,M028,2248.0563632373,4593.327904346075
U06,M029,0.0,1756.6939339219116
U03,M030,4185.726725639028,6154.331062028523
U08,M031,2090.6518131496223,4066.4638317883305
U07,M032,1560.1704018789649,3467.745849715141
U01,M033,5539.616393178885,6793.101659775868
U02,M034,1552.1111916650086,3555.848715878921
U02,M035,0.0,1552.1111816650086
U05,M036,7121.601816756707,8560.044064151116
U04,M037,7125.006328603124,8757.202580221248
U01,M038,7015.44941654612,8647.645668164245
