sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-A-05,3958.807457783855,5747.613110788493,0.32548375056247025,1376.8711242687887,7124.484235057282
M002,BAT-A-04,4694.984820676556,6483.790473681194,0.32548375056247025,1376.8711242687887,7860.661597949983
M003,BAT-A-06,5682.8926782429135,7471.698331247551,0.32548375056247025,1376.8711242687887,8848.569455516339
M004,BAT-A-02,3375.7949262853263,5352.892668242914,0.3244681499645051,1378.1914050461432,6731.084073289057
M005,BAT-A-03,6297.729913025039,7599.926164643165,0.5364579264322897,1102.6046956380233,8702.53086028119
M006,BAT-C-01,4585.4561643923535,6541.5673087294335,0.29436647920992276,2362.205961711834,8903.773270441267
M007,BAT-A-04,2441.1461387911622,3663.257320456171,0.5909788536766265,1031.7274902203856,4694.984810676557
M008,BAT-B-01,3436.761663578947,4856.513858197963,0.5538795420717721,1439.942127075595,6296.455985273557
M009,BAT-C-04,2070.170401878965,4105.456154392354,0.3695341375000991,2199.3427020831186,6304.798856475472
M010,BAT-B-01,330.0,1802.734555970083,0.44190744368719415,1634.0270976088636,3436.7616535789466
M011,BAT-B-02,3889.4285098919945,5401.270817059039,0.3969131294747612,1712.0172422437472,7113.288059302786
M012,BAT-A-03,330.0,2111.146128791162,0.30078634766869505,1408.9777480306964,3520.123876821858
M013,BAT-C-03,7121.844096059756,9021.865078637893,0.482209090632034,1955.2136369639265,10977.07871560182
M014,BAT-C-03,2106.170401878965,4259.256836983329,0.2148445241859629,2534.5035309304135,6793.760367913743
M015,BAT-B-03,2162.734565970083,3559.4284998919948,0.3700128964054379,1758.644312897241,5318.072812789236
M016,BAT-B-04,5216.513868197963,6877.056966473846,0.2658969698784259,1939.1119188773948,8816.16888535124
M017,BAT-A-02,360.0,2003.7375242139126,0.32918662148352795,1372.0573920714135,3375.794916285326
M018,BAT-A-03,3993.257330456171,5258.116728777766,0.5849129428867129,1039.6131742472733,6297.72990302504
M019,BAT-A-02,7801.698341247551,9590.503994252189,0.34348657146270256,1353.4674570984866,10943.971451350675
M020,BAT-A-01,2333.7375342139126,4052.8203643897323,0.35369362857140796,1340.1982828571697,5393.018647246902
M021,BAT-B-03,5731.270827059038,6548.547739880895,0.7487111071106329,1102.2340810082362,7650.781820889131
M022,BAT-A-04,360.0,1313.485266596983,0.7085441999392076,878.8925400790301,2192.3778066760133
M023,BAT-C-02,540.0,1626.170391878965,0.6353055079653442,1623.5047327417542,3249.675124620719
M024,BAT-A-06,1703.4852765969829,3628.8074477838545,0.429807491769584,1241.2502606995408,4870.057708483395
M025,BAT-C-02,4679.2568469833295,6701.844086059757,0.2665622722068921,2422.4484102184,9124.292496278156
M026,BAT-B-02,330.0,1435.376902446339,0.6030350573947975,1354.7392338490179,2790.116136295357
M027,BAT-A-05,1583.4852765969829,2805.5964582619918,0.5723498680213146,1055.945171572291,3861.5416298342825
M028,BAT-C-04,7021.567318729434,8894.067754823936,0.3704184811778197,2197.426624114724,11091.49437893866
M029,BAT-A-01,5588.116738777767,7369.262867568928,0.3194472466397946,1384.718579368267,8753.981446937196
M030,BAT-C-01,510.0,1560.170391878965,0.6255321544315746,1644.6803320649215,3204.8507239438864
M031,BAT-A-01,330.0,1253.485266596983,0.7135851097733631,872.3393572946279,2125.824623891611
M032,BAT-B-04,1795.376912446339,2642.6538252681958,0.7077345508120314,1173.2601119258122,3815.913937194008
