uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2109.0828301758197
U02,M002,0.0,2003.7375242139126
U07,M003,0.0,1969.2846571841203
U03,M004,0.0,1727.4353226736384
U04,M005,0.0,1654.8593983215956
U04,M006,1654.8593983215956,3266.970579986604
U05,M007,0.0,1209.1015218431576
U06,M008,0.0,1207.276912821857
U03,M009,1727.4353226736384,3990.089344851174
U06,M010,1207.276912821857,3128.9249239950987
U05,M011,1209.1015218431576,3110.9438290102016
U05,M012,3110.9438290102016,4879.2324130306515
U01,M013,2109.0828301758197,4051.7784768447177
U02,M014,2003.7375242139126,4106.4723225487705
U04,M015,3266.970579986604,4488.9974989900375
U08,M016,0.0,1428.170391878965
U08,M017,1428.170391878965,3535.982410517673
U07,M018,1969.2846571841203,3398.844183124467
U07,M019,3398.844183124467,5682.212932468454
U08,M020,3535.982410517673,4964.152802396638
U08,M021,4964.152802396638,7400.2639467337185
U07,M022,5682.212932468454,7851.273999061617
U08,M023,7400.2639467337185,9467.976031325892
U07,M024,7851.273999061617,9596.46915725716
U06,M025,3128.9249239950987,4564.301826441438
U06,M026,4564.301826441438,6384.805089014442
U05,M027,4879.2324130306515,6269.702693323596
U03,M028,3990.089344851174,5920.49387930333
U01,M029,4051.7784768447177,5242.679622109277
U05,M030,6269.702693323596,7708.144940718004
U06,M031,6384.805089014442,7453.228739126043
U08,M032,9467.976031325892,11403.609273883865
