sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U05,B,BAT-B-02,3925.0241359366582,4285.024135936658,S004,5846.6721471099,3.035323286336638,0.16467671366336223,2,28.0,P0002
M002,U03,A,BAT-A-02,3569.060299418269,3899.060299418269,S008,5680.206428209431,3.146461435490872,0.4535385645091279,1,14.0,P0002
M003,U03,A,BAT-A-03,0.0,330.0,S014,1930.4045344521558,2.2516405613981223,1.3483594386018778,1,14.0,P0002
M004,U04,A,BAT-A-05,4487.467563096952,4817.467563096952,S008,6598.613691888115,3.0154135804190303,0.5845864195809698,1,3.0,P0002
M005,U02,A,BAT-A-03,5507.764821736642,5867.764821736642,S005,7199.961073354768,2.192966633451616,1.4070333665483843,2,22.0,P0002
M006,U03,A,BAT-A-01,6525.60570330359,6855.60570330359,S011,7687.632622307024,1.132490077819226,2.467509922180774,1,14.0,P0002
M007,U04,A,BAT-A-04,0.0,360.0,S010>S014,2255.322171186872,2.3794002167797075,1.2205997832202926,2,6.0,P0002
M008,U06,B,BAT-B-04,1816.6939439219116,2176.6939439219113,S012>S009,3923.207949268467,2.456523289021613,0.7434767109783871,2,6.0,P0002
M009,U05,B,BAT-B-03,1207.276922821857,1567.276922821857,S006,2414.5538356437137,1.2935373689333134,1.9064626310666868,2,28.0,P0002
M010,U05,B,BAT-B-01,2414.553845643714,2804.553845643714,S013,3925.0241259366585,1.8247182633032644,1.3752817366967358,3,25.0,P0002
M011,U01,A,BAT-A-01,0.0,360.0,S012,2109.0828301758197,3.058394179439678,0.541605820560322,2,22.0,P0002
M012,U07,C,BAT-C-01,0.0,510.0,S001,1560.170391878965,2.995742764547403,3.4042572354525973,7,78.0,P0002
M013,U03,A,BAT-A-06,1930.4045444521557,2260.4045444521557,S010,3525.2639427737513,1.92131533083843,1.67868466916157,1,14.0,P0002
M014,U07,C,BAT-C-03,1560.1704018789649,2010.1704018789649,S007>S015,3973.4561543923537,4.6806762376757405,1.7193237623242599,5,47.0,P0002
M015,U01,A,BAT-A-05,2109.08284017582,2439.08284017582,S007,3776.5181628494583,1.8725171200874788,1.7274828799125213,1,14.0,P0002
M016,U06,B,BAT-B-03,3923.2079592684677,4313.207959268468,S003,6003.75105754435,2.7799008904293254,0.42009910957067476,3,25.0,P0002
M017,U06,B,BAT-B-02,0.0,390.0,S002,1816.6939339219116,2.7133927146782657,0.4866072853217345,3,25.0,P0002
M018,U08,C,BAT-C-01,8674.783003347395,9004.783003347395,S011,9821.027238582694,1.814461969064252,4.585538030935748,1,8.0,P0002
M019,U05,B,BAT-B-04,6993.949079931756,7323.949079931756,S004,8855.597091104997,2.3626039601863056,0.8373960398136946,1,6.0,P0002
M020,U05,B,BAT-B-01,5846.6721571099,6176.6721571099,S006,6993.949069931757,1.0173638670564893,2.182636132943511,1,8.0,P0002
M021,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.0987637384368147,2.1012362615631854,2,17.0,P0002
M022,U07,C,BAT-C-02,3973.4561643923535,4363.4561643923535,S008>S005,6350.0434034687805,5.483349669610719,0.916650330389281,3,26.0,P0002
M023,U02,A,BAT-A-03,2750.8784844116135,3080.8784844116135,S010,4345.737882733209,1.867891757009792,1.7321082429902082,1,8.0,P0002
M024,U08,C,BAT-C-03,6469.031029681697,6799.031029681697,S009,7981.599581193945,3.6521642415640225,2.747835758435978,1,14.0,P0002
M025,U07,C,BAT-C-04,6350.04341346878,6680.04341346878,S007,7993.618861304956,2.95966356044441,3.4403364395555904,1,6.0,P0002
M026,U08,C,BAT-C-04,1626.1704018789649,2076.170401878965,S002,3667.982420517673,5.721185016831143,0.6788149831688575,5,56.0,P0002
M027,U02,A,BAT-A-04,8417.761856770845,8747.761856770845,S009,10046.375731484233,2.1580232488204603,1.4419767511795398,1,8.0,P0002
M028,U05,B,BAT-B-01,8855.597101104999,9185.597101104999,S004,10717.24511227824,2.3898427442162884,0.8101572557837118,1,8.0,P0002
M029,U02,A,BAT-A-06,4345.737892733209,4675.737892733209,S011,5507.7648117366425,1.0835104434866438,2.5164895565133563,1,3.0,P0002
M030,U02,A,BAT-A-02,0.0,390.0,S005>S004,2475.895260153948,3.195571255145725,0.40442874485427494,3,20.0,P0002
M031,U08,C,BAT-C-01,3667.982430517673,4147.9824305176735,S006>S003,6469.031019681696,6.285853441227196,0.11414655877280477,6,62.0,P0002
M032,U01,A,BAT-A-04,5685.122519238953,6015.122519238953,S014,7615.527053691108,2.1885050529683205,1.4114949470316795,1,8.0,P0002
M033,U06,B,BAT-B-02,7498.64558118911,7828.64558118911,S008,9340.487888356154,2.473516302371392,0.7264836976286082,1,8.0,P0002
M034,U08,C,BAT-C-02,0.0,540.0,S001,1626.170391878965,2.917555936277246,3.4824440637227543,8,76.0,P0002
M035,U01,A,BAT-A-01,3776.518172849458,4106.518172849458,S015,5685.122509238953,2.3209033294545107,1.2790966705454894,1,3.0,P0002
M036,U04,A,BAT-A-06,6598.6137018881145,6928.6137018881145,S005,8230.80995350624,2.085939331054696,1.5140606689453042,1,14.0,P0002
M037,U01,A,BAT-A-02,7615.527063691108,7945.527063691108,S005,9247.723315309235,2.085939331054696,1.5140606689453042,1,14.0,P0002
