uav_id,sortie_id,busy_start_s,busy_end_s
U05,M001,3925.0241359366582,5846.6721471099
U03,M002,3569.060299418269,5680.206428209431
U03,M003,0.0,1930.4045344521558
U04,M004,4487.467563096952,6598.613691888115
U02,M005,5507.764821736642,7199.961073354768
U03,M006,6525.60570330359,7687.632622307024
U04,M007,0.0,2255.322171186872
U06,M008,1816.6939439219116,3923.207949268467
U05,M009,1207.276922821857,2414.5538356437137
U05,M010,2414.553845643714,3925.0241259366585
U01,M011,0.0,2109.0828301758197
U07,M012,0.0,1560.170391878965
U03,M013,1930.4045444521557,3525.2639427737513
U07,M014,1560.1704018789649,3973.4561543923537
U01,M015,2109.08284017582,3776.5181628494583
U06,M016,3923.2079592684677,6003.75105754435
U06,M017,0.0,1816.6939339219116
U08,M018,8674.783003347395,9821.027238582694
U05,M019,6993.949079931756,8855.597091104997
U05,M020,5846.6721571099,6993.949069931757
U05,M021,0.0,1207.276912821857
U07,M022,3973.4561643923535,6350.0434034687805
U02,M023,2750.8784844116135,4345.737882733209
U08,M024,6469.031029681697,7981.599581193945
U07,M025,6350.04341346878,7993.618861304956
U08,M026,1626.1704018789649,3667.982420517673
U02,M027,8417.761856770845,10046.375731484233
U05,M028,8855.597101104999,10717.24511227824
U02,M029,4345.737892733209,5507.7648117366425
U02,M030,0.0,2475.895260153948
U08,M031,3667.982430517673,6469.031019681696
U01,M032,5685.122519238953,7615.527053691108
U06,M033,7498.64558118911,9340.487888356154
U08,M034,0.0,1626.170391878965
U01,M035,3776.518172849458,5685.122509238953
U04,M036,6598.6137018881145,8230.80995350624
U01,M037,7615.527063691108,9247.723315309235
